Variable,Date,Location,Value
Cumulative admission/isolation,09/26/2014,Grand Kru,
Newly Reported Cases in HCW,09/26/2014,Grand Kru,0.0
Cumulative cases among HCW,09/26/2014,Grand Kru,0.0
Newly Reported deaths in HCW,09/26/2014,Grand Kru,0.0
Cumulative deaths among HCW,09/26/2014,Grand Kru,0.0
New Case/s (Suspected),09/26/2014,Grand Kru,0.0
New Case/s (Probable),09/26/2014,Grand Kru,0.0
New case/s (confirmed),09/26/2014,Grand Kru,0.0
Total suspected cases,09/26/2014,Grand Kru,3.0
Total probable cases,09/26/2014,Grand Kru,7.0
Total confirmed cases,09/26/2014,Grand Kru,6.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,Grand Kru,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,Grand Kru,0.0
Specimens collected,09/26/2014,Lofa County,
Specimens pending for testing,09/26/2014,Lofa County,
Total specimens tested,09/26/2014,Lofa County,
Newly reported deaths,09/26/2014,Lofa County,4.0
Total death/s in confirmed cases,09/26/2014,Lofa County,189.0
Total death/s in probable cases,09/26/2014,Lofa County,199.0
Total death/s in suspected cases,09/26/2014,Lofa County,38.0
"Total death/s in confirmed, probable, suspected cases",09/26/2014,Lofa County,426.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,Lofa County,
Newly reported contacts,09/26/2014,Lofa County,10.0
Total contacts listed,09/26/2014,Lofa County,664.0
Currently under follow-up,09/26/2014,Lofa County,317.0
Contacts seen,09/26/2014,Lofa County,317.0
Contacts who completed 21 day follow-up,09/26/2014,Lofa County,0.0
Contacts lost to follow-up,09/26/2014,Lofa County,0.0
New admissions,09/26/2014,Lofa County,3.0
Total no. currently in Treatment Units,09/26/2014,Lofa County,15.0
Total discharges,09/26/2014,Lofa County,2.0
Cumulative admission/isolation,09/26/2014,Lofa County,
Newly Reported Cases in HCW,09/26/2014,Lofa County,0.0
Cumulative cases among HCW,09/26/2014,Lofa County,21.0
Newly Reported deaths in HCW,09/26/2014,Lofa County,0.0
Cumulative deaths among HCW,09/26/2014,Lofa County,18.0
New Case/s (Suspected),09/26/2014,Lofa County,0.0
New Case/s (Probable),09/26/2014,Lofa County,3.0
New case/s (confirmed),09/26/2014,Lofa County,0.0
Total suspected cases,09/26/2014,Lofa County,57.0
Total probable cases,09/26/2014,Lofa County,439.0
Total confirmed cases,09/26/2014,Lofa County,281.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,Lofa County,11.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,Lofa County,0.0
Specimens collected,09/26/2014,Margibi County,
Specimens pending for testing,09/26/2014,Margibi County,
Total specimens tested,09/26/2014,Margibi County,
Newly reported deaths,09/26/2014,Margibi County,8.0
Total death/s in confirmed cases,09/26/2014,Margibi County,40.0
Total death/s in probable cases,09/26/2014,Margibi County,123.0
Total death/s in suspected cases,09/26/2014,Margibi County,75.0
"Total death/s in confirmed, probable, suspected cases",09/26/2014,Margibi County,238.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,Margibi County,
Newly reported contacts,09/26/2014,Margibi County,126.0
Total contacts listed,09/26/2014,Margibi County,1988.0
Currently under follow-up,09/26/2014,Margibi County,1784.0
Contacts seen,09/26/2014,Margibi County,1784.0
Contacts who completed 21 day follow-up,09/26/2014,Margibi County,0.0
Contacts lost to follow-up,09/26/2014,Margibi County,14.0
New admissions,09/26/2014,Margibi County,0.0
Total no. currently in Treatment Units,09/26/2014,Margibi County,0.0
Total discharges,09/26/2014,Margibi County,0.0
Cumulative admission/isolation,09/26/2014,Margibi County,
Newly Reported Cases in HCW,09/26/2014,Margibi County,0.0
Cumulative cases among HCW,09/26/2014,Margibi County,42.0
Newly Reported deaths in HCW,09/26/2014,Margibi County,0.0
Cumulative deaths among HCW,09/26/2014,Margibi County,20.0
New Case/s (Suspected),09/26/2014,Margibi County,9.0
New Case/s (Probable),09/26/2014,Margibi County,17.0
New case/s (confirmed),09/26/2014,Margibi County,0.0
Total suspected cases,09/26/2014,Margibi County,273.0
Total probable cases,09/26/2014,Margibi County,300.0
Total confirmed cases,09/26/2014,Margibi County,39.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,Margibi County,1.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,Margibi County,0.0
Specimens collected,09/26/2014,Maryland County,
Specimens pending for testing,09/26/2014,Maryland County,
Total specimens tested,09/26/2014,Maryland County,
Newly reported deaths,09/26/2014,Maryland County,0.0
Total death/s in confirmed cases,09/26/2014,Maryland County,0.0
Total death/s in probable cases,09/26/2014,Maryland County,5.0
Total death/s in suspected cases,09/26/2014,Maryland County,3.0
"Total death/s in confirmed, probable, suspected cases",09/26/2014,Maryland County,8.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,Maryland County,
Newly reported contacts,09/26/2014,Maryland County,0.0
Total contacts listed,09/26/2014,Maryland County,6.0
Currently under follow-up,09/26/2014,Maryland County,6.0
Contacts seen,09/26/2014,Maryland County,0.0
Contacts who completed 21 day follow-up,09/26/2014,Maryland County,0.0
Contacts lost to follow-up,09/26/2014,Maryland County,0.0
New admissions,09/26/2014,Maryland County,0.0
Total no. currently in Treatment Units,09/26/2014,Maryland County,0.0
Total discharges,09/26/2014,Maryland County,0.0
Cumulative admission/isolation,09/26/2014,Maryland County,
Newly Reported Cases in HCW,09/26/2014,Maryland County,0.0
Cumulative cases among HCW,09/26/2014,Maryland County,0.0
Newly Reported deaths in HCW,09/26/2014,Maryland County,0.0
Cumulative deaths among HCW,09/26/2014,Maryland County,0.0
New Case/s (Suspected),09/26/2014,Maryland County,0.0
New Case/s (Probable),09/26/2014,Maryland County,0.0
New case/s (confirmed),09/26/2014,Maryland County,0.0
Total suspected cases,09/26/2014,Maryland County,3.0
Total probable cases,09/26/2014,Maryland County,5.0
Total confirmed cases,09/26/2014,Maryland County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,Maryland County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,Maryland County,0.0
Specimens collected,09/26/2014,Montserrado County,
Specimens pending for testing,09/26/2014,Montserrado County,
Total specimens tested,09/26/2014,Montserrado County,
Newly reported deaths,09/26/2014,Montserrado County,45.0
Total death/s in confirmed cases,09/26/2014,Montserrado County,528.0
Total death/s in probable cases,09/26/2014,Montserrado County,186.0
Total death/s in suspected cases,09/26/2014,Montserrado County,210.0
"Total death/s in confirmed, probable, suspected cases",09/26/2014,Montserrado County,924.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,Montserrado County,
Newly reported contacts,09/26/2014,Montserrado County,137.0
Total contacts listed,09/26/2014,Montserrado County,7538.0
Currently under follow-up,09/26/2014,Montserrado County,3214.0
Contacts seen,09/26/2014,Montserrado County,3082.0
Contacts who completed 21 day follow-up,09/26/2014,Montserrado County,169.0
Contacts lost to follow-up,09/26/2014,Montserrado County,3.0
New admissions,09/26/2014,Montserrado County,23.0
Total no. currently in Treatment Units,09/26/2014,Montserrado County,398.0
Total discharges,09/26/2014,Montserrado County,14.0
Cumulative admission/isolation,09/26/2014,Montserrado County,
Newly Reported Cases in HCW,09/26/2014,Montserrado County,0.0
Cumulative cases among HCW,09/26/2014,Montserrado County,74.0
Newly Reported deaths in HCW,09/26/2014,Montserrado County,0.0
Cumulative deaths among HCW,09/26/2014,Montserrado County,33.0
New Case/s (Suspected),09/26/2014,Montserrado County,14.0
New Case/s (Probable),09/26/2014,Montserrado County,20.0
New case/s (confirmed),09/26/2014,Montserrado County,0.0
Total suspected cases,09/26/2014,Montserrado County,466.0
Total probable cases,09/26/2014,Montserrado County,576.0
Total confirmed cases,09/26/2014,Montserrado County,352.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,Montserrado County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,Montserrado County,1.0
Specimens collected,09/26/2014,National,
Specimens pending for testing,09/26/2014,National,
Total specimens tested,09/26/2014,National,
Newly reported deaths,09/26/2014,National,64.0
Total death/s in confirmed cases,09/26/2014,National,882.0
Total death/s in probable cases,09/26/2014,National,656.0
Total death/s in suspected cases,09/26/2014,National,437.0
"Total death/s in confirmed, probable, suspected cases",09/26/2014,National,1975.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,National,
Newly reported contacts,09/26/2014,National,283.0
Total contacts listed,09/26/2014,National,12921.0
Currently under follow-up,09/26/2014,National,6774.0
Contacts seen,09/26/2014,National,6425.0
Contacts who completed 21 day follow-up,09/26/2014,National,287.0
Contacts lost to follow-up,09/26/2014,National,19.0
New admissions,09/26/2014,National,31.0
Total no. currently in Treatment Units,09/26/2014,National,433.0
Total discharges,09/26/2014,National,20.0
Cumulative admission/isolation,09/26/2014,National,
Newly Reported Cases in HCW,09/26/2014,National,0.0
Cumulative cases among HCW,09/26/2014,National,183.0
Newly Reported deaths in HCW,09/26/2014,National,0.0
Cumulative deaths among HCW,09/26/2014,National,92.0
New Case/s (Suspected),09/26/2014,National,27.0
New Case/s (Probable),09/26/2014,National,42.0
New case/s (confirmed),09/26/2014,National,2.0
Total suspected cases,09/26/2014,National,1084.0
Total probable cases,09/26/2014,National,1626.0
Total confirmed cases,09/26/2014,National,917.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,National,13.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,National,4.0
Specimens collected,09/26/2014,Nimba County,
Specimens pending for testing,09/26/2014,Nimba County,
Total specimens tested,09/26/2014,Nimba County,
Newly reported deaths,09/26/2014,Nimba County,0.0
Total death/s in confirmed cases,09/26/2014,Nimba County,49.0
Total death/s in probable cases,09/26/2014,Nimba County,70.0
Total death/s in suspected cases,09/26/2014,Nimba County,14.0
"Total death/s in confirmed, probable, suspected cases",09/26/2014,Nimba County,133.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,Nimba County,
Newly reported contacts,09/26/2014,Nimba County,0.0
Total contacts listed,09/26/2014,Nimba County,840.0
Currently under follow-up,09/26/2014,Nimba County,471.0
Contacts seen,09/26/2014,Nimba County,471.0
Contacts who completed 21 day follow-up,09/26/2014,Nimba County,17.0
Contacts lost to follow-up,09/26/2014,Nimba County,0.0
New admissions,09/26/2014,Nimba County,0.0
Total no. currently in Treatment Units,09/26/2014,Nimba County,0.0
Total discharges,09/26/2014,Nimba County,0.0
Cumulative admission/isolation,09/26/2014,Nimba County,
Newly Reported Cases in HCW,09/26/2014,Nimba County,0.0
Cumulative cases among HCW,09/26/2014,Nimba County,8.0
Newly Reported deaths in HCW,09/26/2014,Nimba County,0.0
Cumulative deaths among HCW,09/26/2014,Nimba County,8.0
New Case/s (Suspected),09/26/2014,Nimba County,0.0
New Case/s (Probable),09/26/2014,Nimba County,0.0
New case/s (confirmed),09/26/2014,Nimba County,0.0
Total suspected cases,09/26/2014,Nimba County,33.0
Total probable cases,09/26/2014,Nimba County,133.0
Total confirmed cases,09/26/2014,Nimba County,77.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,Nimba County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,Nimba County,0.0
Specimens collected,09/26/2014,River Gee County,
Specimens pending for testing,09/26/2014,River Gee County,
Total specimens tested,09/26/2014,River Gee County,
Newly reported deaths,09/26/2014,River Gee County,0.0
Total death/s in confirmed cases,09/26/2014,River Gee County,0.0
Total death/s in probable cases,09/26/2014,River Gee County,0.0
Total death/s in suspected cases,09/26/2014,River Gee County,6.0
"Total death/s in confirmed, probable, suspected cases",09/26/2014,River Gee County,6.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,River Gee County,
Newly reported contacts,09/26/2014,River Gee County,0.0
Total contacts listed,09/26/2014,River Gee County,19.0
Currently under follow-up,09/26/2014,River Gee County,4.0
Contacts seen,09/26/2014,River Gee County,0.0
Contacts who completed 21 day follow-up,09/26/2014,River Gee County,0.0
Contacts lost to follow-up,09/26/2014,River Gee County,0.0
New admissions,09/26/2014,River Gee County,0.0
Total no. currently in Treatment Units,09/26/2014,River Gee County,0.0
Total discharges,09/26/2014,River Gee County,0.0
Cumulative admission/isolation,09/26/2014,River Gee County,
Newly Reported Cases in HCW,09/26/2014,River Gee County,0.0
Cumulative cases among HCW,09/26/2014,River Gee County,0.0
Newly Reported deaths in HCW,09/26/2014,River Gee County,0.0
Cumulative deaths among HCW,09/26/2014,River Gee County,0.0
New Case/s (Suspected),09/26/2014,River Gee County,0.0
New Case/s (Probable),09/26/2014,River Gee County,0.0
New case/s (confirmed),09/26/2014,River Gee County,0.0
Total suspected cases,09/26/2014,River Gee County,11.0
Total probable cases,09/26/2014,River Gee County,4.0
Total confirmed cases,09/26/2014,River Gee County,2.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,River Gee County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,River Gee County,0.0
Specimens collected,09/26/2014,RiverCess County,
Specimens pending for testing,09/26/2014,RiverCess County,
Total specimens tested,09/26/2014,RiverCess County,
Newly reported deaths,09/26/2014,RiverCess County,0.0
Total death/s in confirmed cases,09/26/2014,RiverCess County,3.0
Total death/s in probable cases,09/26/2014,RiverCess County,3.0
Total death/s in suspected cases,09/26/2014,RiverCess County,2.0
"Total death/s in confirmed, probable, suspected cases",09/26/2014,RiverCess County,8.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,RiverCess County,
Newly reported contacts,09/26/2014,RiverCess County,0.0
Total contacts listed,09/26/2014,RiverCess County,91.0
Currently under follow-up,09/26/2014,RiverCess County,44.0
Contacts seen,09/26/2014,RiverCess County,0.0
Contacts who completed 21 day follow-up,09/26/2014,RiverCess County,0.0
Contacts lost to follow-up,09/26/2014,RiverCess County,0.0
New admissions,09/26/2014,RiverCess County,0.0
Total no. currently in Treatment Units,09/26/2014,RiverCess County,0.0
Total discharges,09/26/2014,RiverCess County,0.0
Cumulative admission/isolation,09/26/2014,RiverCess County,
Newly Reported Cases in HCW,09/26/2014,RiverCess County,0.0
Cumulative cases among HCW,09/26/2014,RiverCess County,0.0
Newly Reported deaths in HCW,09/26/2014,RiverCess County,0.0
Cumulative deaths among HCW,09/26/2014,RiverCess County,0.0
New Case/s (Suspected),09/26/2014,RiverCess County,0.0
New Case/s (Probable),09/26/2014,RiverCess County,0.0
New case/s (confirmed),09/26/2014,RiverCess County,0.0
Total suspected cases,09/26/2014,RiverCess County,3.0
Total probable cases,09/26/2014,RiverCess County,3.0
Total confirmed cases,09/26/2014,RiverCess County,4.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,RiverCess County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,RiverCess County,0.0
Specimens collected,09/26/2014,Sinoe County,
Specimens pending for testing,09/26/2014,Sinoe County,
Total specimens tested,09/26/2014,Sinoe County,
Newly reported deaths,09/26/2014,Sinoe County,0.0
Total death/s in confirmed cases,09/26/2014,Sinoe County,2.0
Total death/s in probable cases,09/26/2014,Sinoe County,0.0
Total death/s in suspected cases,09/26/2014,Sinoe County,0.0
"Total death/s in confirmed, probable, suspected cases",09/26/2014,Sinoe County,2.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,Sinoe County,
Newly reported contacts,09/26/2014,Sinoe County,0.0
Total contacts listed,09/26/2014,Sinoe County,58.0
Currently under follow-up,09/26/2014,Sinoe County,58.0
Contacts seen,09/26/2014,Sinoe County,0.0
Contacts who completed 21 day follow-up,09/26/2014,Sinoe County,0.0
Contacts lost to follow-up,09/26/2014,Sinoe County,0.0
New admissions,09/26/2014,Sinoe County,0.0
Total no. currently in Treatment Units,09/26/2014,Sinoe County,0.0
Total discharges,09/26/2014,Sinoe County,0.0
Cumulative admission/isolation,09/26/2014,Sinoe County,
Newly Reported Cases in HCW,09/26/2014,Sinoe County,0.0
Cumulative cases among HCW,09/26/2014,Sinoe County,0.0
Newly Reported deaths in HCW,09/26/2014,Sinoe County,0.0
Cumulative deaths among HCW,09/26/2014,Sinoe County,0.0
New Case/s (Suspected),09/26/2014,Sinoe County,0.0
New Case/s (Probable),09/26/2014,Sinoe County,0.0
New case/s (confirmed),09/26/2014,Sinoe County,0.0
Total suspected cases,09/26/2014,Sinoe County,5.0
Total probable cases,09/26/2014,Sinoe County,0.0
Total confirmed cases,09/26/2014,Sinoe County,4.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,Sinoe County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,Sinoe County,0.0
Specimens collected,09/26/2014,Unnamed: 3,
Specimens pending for testing,09/26/2014,Unnamed: 3,
Total specimens tested,09/26/2014,Unnamed: 3,
Newly reported deaths,09/26/2014,Unnamed: 3,
Total death/s in confirmed cases,09/26/2014,Unnamed: 3,
Total death/s in probable cases,09/26/2014,Unnamed: 3,
Total death/s in suspected cases,09/26/2014,Unnamed: 3,
"Total death/s in confirmed, probable, suspected cases",09/26/2014,Unnamed: 3,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/26/2014,Unnamed: 3,
Newly reported contacts,09/26/2014,Unnamed: 3,
Total contacts listed,09/26/2014,Unnamed: 3,
Currently under follow-up,09/26/2014,Unnamed: 3,
Contacts seen,09/26/2014,Unnamed: 3,
Contacts who completed 21 day follow-up,09/26/2014,Unnamed: 3,
Contacts lost to follow-up,09/26/2014,Unnamed: 3,
New admissions,09/26/2014,Unnamed: 3,
Total no. currently in Treatment Units,09/26/2014,Unnamed: 3,
Total discharges,09/26/2014,Unnamed: 3,
Cumulative admission/isolation,09/26/2014,Unnamed: 3,
Newly Reported Cases in HCW,09/26/2014,Unnamed: 3,
Cumulative cases among HCW,09/26/2014,Unnamed: 3,
Newly Reported deaths in HCW,09/26/2014,Unnamed: 3,
Cumulative deaths among HCW,09/26/2014,Unnamed: 3,
New Case/s (Suspected),09/26/2014,Unnamed: 3,
New Case/s (Probable),09/26/2014,Unnamed: 3,
New case/s (confirmed),09/26/2014,Unnamed: 3,
Total suspected cases,09/26/2014,Unnamed: 3,
Total probable cases,09/26/2014,Unnamed: 3,
Total confirmed cases,09/26/2014,Unnamed: 3,
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/26/2014,Unnamed: 3,
Total Number of Confirmed Cases of Guinean Nationality,09/26/2014,Unnamed: 3,
Specimens collected,09/27/2014,Bomi County,
Specimens pending for testing,09/27/2014,Bomi County,
Total specimens tested,09/27/2014,Bomi County,
Newly reported deaths,09/27/2014,Bomi County,0.0
Total death/s in confirmed cases,09/27/2014,Bomi County,29.0
Total death/s in probable cases,09/27/2014,Bomi County,33.0
Total death/s in suspected cases,09/27/2014,Bomi County,4.0
"Total death/s in confirmed, probable, suspected cases",09/27/2014,Bomi County,66.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/27/2014,Bomi County,
Newly reported contacts,09/27/2014,Bomi County,0.0
Total contacts listed,09/27/2014,Bomi County,549.0
Currently under follow-up,09/27/2014,Bomi County,441.0
Contacts seen,09/27/2014,Bomi County,440.0
Contacts who completed 21 day follow-up,09/27/2014,Bomi County,0.0
Contacts lost to follow-up,09/27/2014,Bomi County,0.0
New admissions,09/27/2014,Bomi County,
Total no. currently in Treatment Units,09/27/2014,Bomi County,
Total discharges,09/27/2014,Bomi County,
Cumulative admission/isolation,09/27/2014,Bomi County,
Newly Reported Cases in HCW,09/27/2014,Bomi County,0.0
Cumulative cases among HCW,09/27/2014,Bomi County,6.0
Newly Reported deaths in HCW,09/27/2014,Bomi County,0.0
Cumulative deaths among HCW,09/27/2014,Bomi County,5.0
New Case/s (Suspected),09/27/2014,Bomi County,0.0
New Case/s (Probable),09/27/2014,Bomi County,0.0
New case/s (confirmed),09/27/2014,Bomi County,0.0
Total suspected cases,09/27/2014,Bomi County,7.0
Total probable cases,09/27/2014,Bomi County,45.0
Total confirmed cases,09/27/2014,Bomi County,33.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/27/2014,Bomi County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/27/2014,Bomi County,3.0
Specimens collected,09/27/2014,Bong County,
Specimens pending for testing,09/27/2014,Bong County,
Total specimens tested,09/27/2014,Bong County,
Newly reported deaths,09/27/2014,Bong County,2.0
Total death/s in confirmed cases,09/27/2014,Bong County,14.0
Total death/s in probable cases,09/27/2014,Bong County,21.0
Total death/s in suspected cases,09/27/2014,Bong County,72.0
"Total death/s in confirmed, probable, suspected cases",09/27/2014,Bong County,107.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/27/2014,Bong County,
Newly reported contacts,09/27/2014,Bong County,0.0
Total contacts listed,09/27/2014,Bong County,767.0
Currently under follow-up,09/27/2014,Bong County,170.0
Contacts seen,09/27/2014,Bong County,170.0
Contacts who completed 21 day follow-up,09/27/2014,Bong County,0.0
Contacts lost to follow-up,09/27/2014,Bong County,0.0
New admissions,09/27/2014,Bong County,
Total no. currently in Treatment Units,09/27/2014,Bong County,
Total discharges,09/27/2014,Bong County,
Cumulative admission/isolation,09/27/2014,Bong County,
Newly Reported Cases in HCW,09/27/2014,Bong County,0.0
Cumulative cases among HCW,09/27/2014,Bong County,26.0
Newly Reported deaths in HCW,09/27/2014,Bong County,0.0
Cumulative deaths among HCW,09/27/2014,Bong County,7.0
New Case/s (Suspected),09/27/2014,Bong County,2.0
New Case/s (Probable),09/27/2014,Bong County,0.0
New case/s (confirmed),09/27/2014,Bong County,0.0
Total suspected cases,09/27/2014,Bong County,184.0
Total probable cases,09/27/2014,Bong County,68.0
Total confirmed cases,09/27/2014,Bong County,66.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/27/2014,Bong County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/27/2014,Bong County,0.0
Specimens collected,09/27/2014,Gbarpolu County,
Specimens pending for testing,09/27/2014,Gbarpolu County,
Total specimens tested,09/27/2014,Gbarpolu County,
Newly reported deaths,09/27/2014,Gbarpolu County,0.0
Total death/s in confirmed cases,09/27/2014,Gbarpolu County,0.0
Total death/s in probable cases,09/27/2014,Gbarpolu County,0.0
Total death/s in suspected cases,09/27/2014,Gbarpolu County,0.0
"Total death/s in confirmed, probable, suspected cases",09/27/2014,Gbarpolu County,0.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/27/2014,Gbarpolu County,
Newly reported contacts,09/27/2014,Gbarpolu County,0.0
Total contacts listed,09/27/2014,Gbarpolu County,0.0
Currently under follow-up,09/27/2014,Gbarpolu County,0.0
Contacts seen,09/27/2014,Gbarpolu County,0.0
Contacts who completed 21 day follow-up,09/27/2014,Gbarpolu County,0.0
Contacts lost to follow-up,09/27/2014,Gbarpolu County,0.0
New admissions,09/27/2014,Gbarpolu County,
Total no. currently in Treatment Units,09/27/2014,Gbarpolu County,
Total discharges,09/27/2014,Gbarpolu County,
Cumulative admission/isolation,09/27/2014,Gbarpolu County,
Newly Reported Cases in HCW,09/27/2014,Gbarpolu County,0.0
Cumulative cases among HCW,09/27/2014,Gbarpolu County,0.0
Newly Reported deaths in HCW,09/27/2014,Gbarpolu County,0.0
Cumulative deaths among HCW,09/27/2014,Gbarpolu County,0.0
New Case/s (Suspected),09/27/2014,Gbarpolu County,0.0
New Case/s (Probable),09/27/2014,Gbarpolu County,0.0
New case/s (confirmed),09/27/2014,Gbarpolu County,0.0
Total suspected cases,09/27/2014,Gbarpolu County,1.0
Total probable cases,09/27/2014,Gbarpolu County,0.0
Total confirmed cases,09/27/2014,Gbarpolu County,0.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/27/2014,Gbarpolu County,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/27/2014,Gbarpolu County,0.0
Specimens collected,09/27/2014,Grand Bassa,
Specimens pending for testing,09/27/2014,Grand Bassa,
Total specimens tested,09/27/2014,Grand Bassa,
Newly reported deaths,09/27/2014,Grand Bassa,0.0
Total death/s in confirmed cases,09/27/2014,Grand Bassa,17.0
Total death/s in probable cases,09/27/2014,Grand Bassa,9.0
Total death/s in suspected cases,09/27/2014,Grand Bassa,7.0
"Total death/s in confirmed, probable, suspected cases",09/27/2014,Grand Bassa,33.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/27/2014,Grand Bassa,
Newly reported contacts,09/27/2014,Grand Bassa,0.0
Total contacts listed,09/27/2014,Grand Bassa,263.0
Currently under follow-up,09/27/2014,Grand Bassa,161.0
Contacts seen,09/27/2014,Grand Bassa,161.0
Contacts who completed 21 day follow-up,09/27/2014,Grand Bassa,0.0
Contacts lost to follow-up,09/27/2014,Grand Bassa,0.0
New admissions,09/27/2014,Grand Bassa,
Total no. currently in Treatment Units,09/27/2014,Grand Bassa,
Total discharges,09/27/2014,Grand Bassa,
Cumulative admission/isolation,09/27/2014,Grand Bassa,
Newly Reported Cases in HCW,09/27/2014,Grand Bassa,0.0
Cumulative cases among HCW,09/27/2014,Grand Bassa,3.0
Newly Reported deaths in HCW,09/27/2014,Grand Bassa,0.0
Cumulative deaths among HCW,09/27/2014,Grand Bassa,1.0
New Case/s (Suspected),09/27/2014,Grand Bassa,0.0
New Case/s (Probable),09/27/2014,Grand Bassa,0.0
New case/s (confirmed),09/27/2014,Grand Bassa,0.0
Total suspected cases,09/27/2014,Grand Bassa,31.0
Total probable cases,09/27/2014,Grand Bassa,41.0
Total confirmed cases,09/27/2014,Grand Bassa,47.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/27/2014,Grand Bassa,0.0
Total Number of Confirmed Cases of Guinean Nationality,09/27/2014,Grand Bassa,0.0
Specimens collected,09/27/2014,Grand Cape Mount,
Specimens pending for testing,09/27/2014,Grand Cape Mount,
Total specimens tested,09/27/2014,Grand Cape Mount,
Newly reported deaths,09/27/2014,Grand Cape Mount,0.0
Total death/s in confirmed cases,09/27/2014,Grand Cape Mount,6.0
Total death/s in probable cases,09/27/2014,Grand Cape Mount,3.0
Total death/s in suspected cases,09/27/2014,Grand Cape Mount,5.0
"Total death/s in confirmed, probable, suspected cases",09/27/2014,Grand Cape Mount,14.0
Case Fatality Rate (CFR) - Confirmed & Probable Cases,09/27/2014,Grand Cape Mount,
Newly reported contacts,09/27/2014,Grand Cape Mount,0.0
Total contacts listed,09/27/2014,Grand Cape Mount,80.0
Currently under follow-up,09/27/2014,Grand Cape Mount,77.0
Contacts seen,09/27/2014,Grand Cape Mount,0.0
Contacts who completed 21 day follow-up,09/27/2014,Grand Cape Mount,0.0
Contacts lost to follow-up,09/27/2014,Grand Cape Mount,0.0
New admissions,09/27/2014,Grand Cape Mount,
Total no. currently in Treatment Units,09/27/2014,Grand Cape Mount,
Total discharges,09/27/2014,Grand Cape Mount,
Cumulative admission/isolation,09/27/2014,Grand Cape Mount,
Newly Reported Cases in HCW,09/27/2014,Grand Cape Mount,0.0
Cumulative cases among HCW,09/27/2014,Grand Cape Mount,3.0
Newly Reported deaths in HCW,09/27/2014,Grand Cape Mount,0.0
Cumulative deaths among HCW,09/27/2014,Grand Cape Mount,0.0
New Case/s (Suspected),09/27/2014,Grand Cape Mount,0.0
New Case/s (Probable),09/27/2014,Grand Cape Mount,0.0
New case/s (confirmed),09/27/2014,Grand Cape Mount,0.0
Total suspected cases,09/27/2014,Grand Cape Mount,6.0
Total probable cases,09/27/2014,Grand Cape Mount,5.0
Total confirmed cases,09/27/2014,Grand Cape Mount,6.0
Total Number of Confirmed Cases of Sierra Leonean Nationality,09/27/2014,Grand Cape Mount,1.0
Total Number of Confirmed Cases of Guinean Nationality,09/27/2014,Grand Cape Mount,0.0
Specimens collected,09/27/2014,Grand Gedeh,
Specimens pending for testing,09/27/2014,Grand Gedeh,
Total specimens tested,09/27/2014,Grand Gedeh,
