Description,Date,Location,Value
New cases of confirmed,2014-08-30,Kerouane,
Total new cases registered so far,2014-08-30,Kerouane,
Total cases of suspects,2014-08-30,Kerouane,
Total cases of probables,2014-08-30,Kerouane,
Total cases of confirmed,2014-08-30,Kerouane,
Cumulative (confirmed + probable + suspects),2014-08-30,Kerouane,
Total suspected non-class cases,2014-08-30,Kerouane,
New deaths registered,2014-08-30,Kerouane,
Total deaths of suspects,2014-08-30,Kerouane,
Total deaths of probables,2014-08-30,Kerouane,
Total deaths of confirmed,2014-08-30,Kerouane,
Total deaths (confirmed + probables + suspects),2014-08-30,Kerouane,
Fatality rate for confirmed and probables,2014-08-30,Kerouane,
New cases of confirmed among health workers,2014-08-30,Kerouane,
Total case of confirmed among health workers,2014-08-30,Kerouane,
New deaths registered among health workers,2014-08-30,Kerouane,
Total deaths registered among health workers,2014-08-30,Kerouane,
New admits to CTE so far,2014-08-30,Kerouane,
Total number of hospitalized cases in CTE,2014-08-30,Kerouane,
Total number of exits from CTE,2014-08-30,Kerouane,
Total number of admissions to CTE,2014-08-30,Kerouane,
New contacts registered so far,2014-08-30,Kerouane,
Total contacts registered from start date,2014-08-30,Kerouane,
Number of contacts to follow today,2014-08-30,Kerouane,
Number of contacts followed today,2014-08-30,Kerouane,
Number of contacts out of the track 21 days,2014-08-30,Kerouane,
Number of contacts lost to follow up,2014-08-30,Kerouane,
Number of samples collected today,2014-08-30,Kerouane,
Number of samples under test,2014-08-30,Kerouane,
Total samples tested,2014-08-30,Kerouane,
New cases of suspects,2014-08-30,Kindia,
New cases of probables,2014-08-30,Kindia,
New cases of confirmed,2014-08-30,Kindia,
Total new cases registered so far,2014-08-30,Kindia,
Total cases of suspects,2014-08-30,Kindia,
Total cases of probables,2014-08-30,Kindia,
Total cases of confirmed,2014-08-30,Kindia,
Cumulative (confirmed + probable + suspects),2014-08-30,Kindia,
Total suspected non-class cases,2014-08-30,Kindia,
New deaths registered,2014-08-30,Kindia,
Total deaths of suspects,2014-08-30,Kindia,
Total deaths of probables,2014-08-30,Kindia,
Total deaths of confirmed,2014-08-30,Kindia,
Total deaths (confirmed + probables + suspects),2014-08-30,Kindia,
Fatality rate for confirmed and probables,2014-08-30,Kindia,
New cases of confirmed among health workers,2014-08-30,Kindia,
Total case of confirmed among health workers,2014-08-30,Kindia,
New deaths registered among health workers,2014-08-30,Kindia,
Total deaths registered among health workers,2014-08-30,Kindia,
New admits to CTE so far,2014-08-30,Kindia,
Total number of hospitalized cases in CTE,2014-08-30,Kindia,
Total number of exits from CTE,2014-08-30,Kindia,
Total number of admissions to CTE,2014-08-30,Kindia,
New contacts registered so far,2014-08-30,Kindia,
Total contacts registered from start date,2014-08-30,Kindia,
Number of contacts to follow today,2014-08-30,Kindia,
Number of contacts followed today,2014-08-30,Kindia,
Number of contacts out of the track 21 days,2014-08-30,Kindia,
Number of contacts lost to follow up,2014-08-30,Kindia,
Number of samples collected today,2014-08-30,Kindia,
Number of samples under test,2014-08-30,Kindia,
Total samples tested,2014-08-30,Kindia,
New cases of suspects,2014-08-30,Kissidougou,
New cases of probables,2014-08-30,Kissidougou,
New cases of confirmed,2014-08-30,Kissidougou,
Total new cases registered so far,2014-08-30,Kissidougou,0
Total cases of suspects,2014-08-30,Kissidougou,0
Total cases of probables,2014-08-30,Kissidougou,5
Total cases of confirmed,2014-08-30,Kissidougou,2
Cumulative (confirmed + probable + suspects),2014-08-30,Kissidougou,7
Total suspected non-class cases,2014-08-30,Kissidougou,7
New deaths registered,2014-08-30,Kissidougou,
Total deaths of suspects,2014-08-30,Kissidougou,0
Total deaths of probables,2014-08-30,Kissidougou,5
Total deaths of confirmed,2014-08-30,Kissidougou,1
Total deaths (confirmed + probables + suspects),2014-08-30,Kissidougou,6
Fatality rate for confirmed and probables,2014-08-30,Kissidougou,86%
New cases of confirmed among health workers,2014-08-30,Kissidougou,0
Total case of confirmed among health workers,2014-08-30,Kissidougou,0
New deaths registered among health workers,2014-08-30,Kissidougou,0
Total deaths registered among health workers,2014-08-30,Kissidougou,0
New admits to CTE so far,2014-08-30,Kissidougou,0
Total number of hospitalized cases in CTE,2014-08-30,Kissidougou,0
Total number of exits from CTE,2014-08-30,Kissidougou,0
Total number of admissions to CTE,2014-08-30,Kissidougou,0
New contacts registered so far,2014-08-30,Kissidougou,0
Total contacts registered from start date,2014-08-30,Kissidougou,159
Number of contacts to follow today,2014-08-30,Kissidougou,0
Number of contacts followed today,2014-08-30,Kissidougou,0
Number of contacts out of the track 21 days,2014-08-30,Kissidougou,159
Number of contacts lost to follow up,2014-08-30,Kissidougou,0
Number of samples collected today,2014-08-30,Kissidougou,
Number of samples under test,2014-08-30,Kissidougou,
Total samples tested,2014-08-30,Kissidougou,
New cases of suspects,2014-08-30,Kouroussa,
New cases of probables,2014-08-30,Kouroussa,
New cases of confirmed,2014-08-30,Kouroussa,
Total new cases registered so far,2014-08-30,Kouroussa,0
Total cases of suspects,2014-08-30,Kouroussa,0
Total cases of probables,2014-08-30,Kouroussa,2
Total cases of confirmed,2014-08-30,Kouroussa,2
Cumulative (confirmed + probable + suspects),2014-08-30,Kouroussa,4
Total suspected non-class cases,2014-08-30,Kouroussa,1
New deaths registered,2014-08-30,Kouroussa,
Total deaths of suspects,2014-08-30,Kouroussa,0
Total deaths of probables,2014-08-30,Kouroussa,2
Total deaths of confirmed,2014-08-30,Kouroussa,2
Total deaths (confirmed + probables + suspects),2014-08-30,Kouroussa,4
Fatality rate for confirmed and probables,2014-08-30,Kouroussa,100%
New cases of confirmed among health workers,2014-08-30,Kouroussa,0
Total case of confirmed among health workers,2014-08-30,Kouroussa,0
New deaths registered among health workers,2014-08-30,Kouroussa,0
Total deaths registered among health workers,2014-08-30,Kouroussa,0
New admits to CTE so far,2014-08-30,Kouroussa,0
Total number of hospitalized cases in CTE,2014-08-30,Kouroussa,0
Total number of exits from CTE,2014-08-30,Kouroussa,0
Total number of admissions to CTE,2014-08-30,Kouroussa,0
New contacts registered so far,2014-08-30,Kouroussa,0
Total contacts registered from start date,2014-08-30,Kouroussa,94
Number of contacts to follow today,2014-08-30,Kouroussa,48
Number of contacts followed today,2014-08-30,Kouroussa,8
Number of contacts out of the track 21 days,2014-08-30,Kouroussa,141
Number of contacts lost to follow up,2014-08-30,Kouroussa,0
Number of samples collected today,2014-08-30,Kouroussa,
Number of samples under test,2014-08-30,Kouroussa,
Total samples tested,2014-08-30,Kouroussa,
New cases of suspects,2014-08-30,Lola,
New cases of probables,2014-08-30,Lola,
New cases of confirmed,2014-08-30,Lola,
Total new cases registered so far,2014-08-30,Lola,
Total cases of suspects,2014-08-30,Lola,
Total cases of probables,2014-08-30,Lola,
Total cases of confirmed,2014-08-30,Lola,
Cumulative (confirmed + probable + suspects),2014-08-30,Lola,
Total suspected non-class cases,2014-08-30,Lola,
New deaths registered,2014-08-30,Lola,
Total deaths of suspects,2014-08-30,Lola,
Total deaths of probables,2014-08-30,Lola,
Total deaths of confirmed,2014-08-30,Lola,
Total deaths (confirmed + probables + suspects),2014-08-30,Lola,
Fatality rate for confirmed and probables,2014-08-30,Lola,
New cases of confirmed among health workers,2014-08-30,Lola,
Total case of confirmed among health workers,2014-08-30,Lola,
New deaths registered among health workers,2014-08-30,Lola,
Total deaths registered among health workers,2014-08-30,Lola,
New admits to CTE so far,2014-08-30,Lola,
Total number of hospitalized cases in CTE,2014-08-30,Lola,
Total number of exits from CTE,2014-08-30,Lola,
Total number of admissions to CTE,2014-08-30,Lola,
New contacts registered so far,2014-08-30,Lola,
Total contacts registered from start date,2014-08-30,Lola,
Number of contacts to follow today,2014-08-30,Lola,
Number of contacts followed today,2014-08-30,Lola,
Number of contacts out of the track 21 days,2014-08-30,Lola,
Number of contacts lost to follow up,2014-08-30,Lola,
Number of samples collected today,2014-08-30,Lola,
Number of samples under test,2014-08-30,Lola,
Total samples tested,2014-08-30,Lola,
New cases of suspects,2014-08-30,Macenta,12
New cases of probables,2014-08-30,Macenta,
New cases of confirmed,2014-08-30,Macenta,4
Total new cases registered so far,2014-08-30,Macenta,16
Total cases of suspects,2014-08-30,Macenta,14
Total cases of probables,2014-08-30,Macenta,11
Total cases of confirmed,2014-08-30,Macenta,117
Cumulative (confirmed + probable + suspects),2014-08-30,Macenta,142
Total suspected non-class cases,2014-08-30,Macenta,74
New deaths registered,2014-08-30,Macenta,2
Total deaths of suspects,2014-08-30,Macenta,0
Total deaths of probables,2014-08-30,Macenta,11
Total deaths of confirmed,2014-08-30,Macenta,69
Total deaths (confirmed + probables + suspects),2014-08-30,Macenta,80
Fatality rate for confirmed and probables,2014-08-30,Macenta,56%
New cases of confirmed among health workers,2014-08-30,Macenta,0
Total case of confirmed among health workers,2014-08-30,Macenta,8
New deaths registered among health workers,2014-08-30,Macenta,0
Total deaths registered among health workers,2014-08-30,Macenta,6
New admits to CTE so far,2014-08-30,Macenta,0
Total number of hospitalized cases in CTE,2014-08-30,Macenta,0
Total number of exits from CTE,2014-08-30,Macenta,0
Total number of admissions to CTE,2014-08-30,Macenta,0
New contacts registered so far,2014-08-30,Macenta,0
Total contacts registered from start date,2014-08-30,Macenta,680
Number of contacts to follow today,2014-08-30,Macenta,357
Number of contacts followed today,2014-08-30,Macenta,293
Number of contacts out of the track 21 days,2014-08-30,Macenta,434
Number of contacts lost to follow up,2014-08-30,Macenta,64
Number of samples collected today,2014-08-30,Macenta,0
Number of samples under test,2014-08-30,Macenta,0
Total samples tested,2014-08-30,Macenta,0
New cases of suspects,2014-08-30,Nzerekore,
New cases of probables,2014-08-30,Nzerekore,
New cases of confirmed,2014-08-30,Nzerekore,
Total new cases registered so far,2014-08-30,Nzerekore,0
Total cases of suspects,2014-08-30,Nzerekore,0
Total cases of probables,2014-08-30,Nzerekore,1
Total cases of confirmed,2014-08-30,Nzerekore,10
Cumulative (confirmed + probable + suspects),2014-08-30,Nzerekore,11
Total suspected non-class cases,2014-08-30,Nzerekore,7
New deaths registered,2014-08-30,Nzerekore,
Total deaths of suspects,2014-08-30,Nzerekore,0
Total deaths of probables,2014-08-30,Nzerekore,1
Total deaths of confirmed,2014-08-30,Nzerekore,5
Total deaths (confirmed + probables + suspects),2014-08-30,Nzerekore,6
Fatality rate for confirmed and probables,2014-08-30,Nzerekore,55%
New cases of confirmed among health workers,2014-08-30,Nzerekore,0
Total case of confirmed among health workers,2014-08-30,Nzerekore,1
New deaths registered among health workers,2014-08-30,Nzerekore,0
Total deaths registered among health workers,2014-08-30,Nzerekore,1
New admits to CTE so far,2014-08-30,Nzerekore,0
Total number of hospitalized cases in CTE,2014-08-30,Nzerekore,0
Total number of exits from CTE,2014-08-30,Nzerekore,0
Total number of admissions to CTE,2014-08-30,Nzerekore,0
New contacts registered so far,2014-08-30,Nzerekore,13
Total contacts registered from start date,2014-08-30,Nzerekore,195
Number of contacts to follow today,2014-08-30,Nzerekore,79
Number of contacts followed today,2014-08-30,Nzerekore,77
Number of contacts out of the track 21 days,2014-08-30,Nzerekore,0
Number of contacts lost to follow up,2014-08-30,Nzerekore,2
Number of samples collected today,2014-08-30,Nzerekore,
Number of samples under test,2014-08-30,Nzerekore,
Total samples tested,2014-08-30,Nzerekore,
New cases of suspects,2014-08-30,Pita,
New cases of probables,2014-08-30,Pita,
New cases of confirmed,2014-08-30,Pita,
Total new cases registered so far,2014-08-30,Pita,0
Total cases of suspects,2014-08-30,Pita,0
Total cases of probables,2014-08-30,Pita,1
Total cases of confirmed,2014-08-30,Pita,5
Cumulative (confirmed + probable + suspects),2014-08-30,Pita,6
Total suspected non-class cases,2014-08-30,Pita,10
New deaths registered,2014-08-30,Pita,
Total deaths of suspects,2014-08-30,Pita,0
Total deaths of probables,2014-08-30,Pita,1
Total deaths of confirmed,2014-08-30,Pita,3
Total deaths (confirmed + probables + suspects),2014-08-30,Pita,4
Fatality rate for confirmed and probables,2014-08-30,Pita,67%
New cases of confirmed among health workers,2014-08-30,Pita,0
Total case of confirmed among health workers,2014-08-30,Pita,0
New deaths registered among health workers,2014-08-30,Pita,0
Total deaths registered among health workers,2014-08-30,Pita,0
New admits to CTE so far,2014-08-30,Pita,0
Total number of hospitalized cases in CTE,2014-08-30,Pita,0
Total number of exits from CTE,2014-08-30,Pita,0
Total number of admissions to CTE,2014-08-30,Pita,0
New contacts registered so far,2014-08-30,Pita,0
Total contacts registered from start date,2014-08-30,Pita,137
Number of contacts to follow today,2014-08-30,Pita,97
Number of contacts followed today,2014-08-30,Pita,92
Number of contacts out of the track 21 days,2014-08-30,Pita,116
Number of contacts lost to follow up,2014-08-30,Pita,5
Number of samples collected today,2014-08-30,Pita,
Number of samples under test,2014-08-30,Pita,
Total samples tested,2014-08-30,Pita,
New cases of suspects,2014-08-30,Siguiri,
New cases of probables,2014-08-30,Siguiri,
New cases of confirmed,2014-08-30,Siguiri,
Total new cases registered so far,2014-08-30,Siguiri,0
Total cases of suspects,2014-08-30,Siguiri,0
Total cases of probables,2014-08-30,Siguiri,0
Total cases of confirmed,2014-08-30,Siguiri,6
Cumulative (confirmed + probable + suspects),2014-08-30,Siguiri,6
Total suspected non-class cases,2014-08-30,Siguiri,8
New deaths registered,2014-08-30,Siguiri,
Total deaths of suspects,2014-08-30,Siguiri,0
Total deaths of probables,2014-08-30,Siguiri,0
Total deaths of confirmed,2014-08-30,Siguiri,3
Total deaths (confirmed + probables + suspects),2014-08-30,Siguiri,3
Fatality rate for confirmed and probables,2014-08-30,Siguiri,50%
New cases of confirmed among health workers,2014-08-30,Siguiri,0
Total case of confirmed among health workers,2014-08-30,Siguiri,2
New deaths registered among health workers,2014-08-30,Siguiri,0
Total deaths registered among health workers,2014-08-30,Siguiri,0
New admits to CTE so far,2014-08-30,Siguiri,0
Total number of hospitalized cases in CTE,2014-08-30,Siguiri,0
Total number of exits from CTE,2014-08-30,Siguiri,0
Total number of admissions to CTE,2014-08-30,Siguiri,13
New contacts registered so far,2014-08-30,Siguiri,0
Total contacts registered from start date,2014-08-30,Siguiri,141
Number of contacts to follow today,2014-08-30,Siguiri,0
Number of contacts followed today,2014-08-30,Siguiri,0
Number of contacts out of the track 21 days,2014-08-30,Siguiri,40
Number of contacts lost to follow up,2014-08-30,Siguiri,0
Number of samples collected today,2014-08-30,Siguiri,
Number of samples under test,2014-08-30,Siguiri,
Total samples tested,2014-08-30,Siguiri,
New cases of suspects,2014-08-30,Telimele,
New cases of probables,2014-08-30,Telimele,
New cases of confirmed,2014-08-30,Telimele,
Total new cases registered so far,2014-08-30,Telimele,0
Total cases of suspects,2014-08-30,Telimele,0
Total cases of probables,2014-08-30,Telimele,3
Total cases of confirmed,2014-08-30,Telimele,23
Cumulative (confirmed + probable + suspects),2014-08-30,Telimele,26
Total suspected non-class cases,2014-08-30,Telimele,18
New deaths registered,2014-08-30,Telimele,
Total deaths of suspects,2014-08-30,Telimele,0
Total deaths of probables,2014-08-30,Telimele,3
Total deaths of confirmed,2014-08-30,Telimele,7
Total deaths (confirmed + probables + suspects),2014-08-30,Telimele,10
Fatality rate for confirmed and probables,2014-08-30,Telimele,38%
New cases of confirmed among health workers,2014-08-30,Telimele,0
Total case of confirmed among health workers,2014-08-30,Telimele,2
New deaths registered among health workers,2014-08-30,Telimele,0
Total deaths registered among health workers,2014-08-30,Telimele,1
New admits to CTE so far,2014-08-30,Telimele,0
Total number of hospitalized cases in CTE,2014-08-30,Telimele,0
Total number of exits from CTE,2014-08-30,Telimele,0
Total number of admissions to CTE,2014-08-30,Telimele,41
New contacts registered so far,2014-08-30,Telimele,0
Total contacts registered from start date,2014-08-30,Telimele,259
Number of contacts to follow today,2014-08-30,Telimele,0
Number of contacts followed today,2014-08-30,Telimele,0
Number of contacts out of the track 21 days,2014-08-30,Telimele,397
Number of contacts lost to follow up,2014-08-30,Telimele,0
Number of samples collected today,2014-08-30,Telimele,
Number of samples under test,2014-08-30,Telimele,
Total samples tested,2014-08-30,Telimele,
New cases of suspects,2014-08-30,Totals,15
New cases of probables,2014-08-30,Totals,0
New cases of confirmed,2014-08-30,Totals,9
Total new cases registered so far,2014-08-30,Totals,24
Total cases of suspects,2014-08-30,Totals,32
Total cases of probables,2014-08-30,Totals,142
Total cases of confirmed,2014-08-30,Totals,533
Cumulative (confirmed + probable + suspects),2014-08-30,Totals,707
Total suspected non-class cases,2014-08-30,Totals,560
New deaths registered,2014-08-30,Totals,5
Total deaths of suspects,2014-08-30,Totals,2
Total deaths of probables,2014-08-30,Totals,142
Total deaths of confirmed,2014-08-30,Totals,324
Total deaths (confirmed + probables + suspects),2014-08-30,Totals,468
Fatality rate for confirmed and probables,2014-08-30,Totals,66%
New cases of confirmed among health workers,2014-08-30,Totals,0
Total case of confirmed among health workers,2014-08-30,Totals,50
New deaths registered among health workers,2014-08-30,Totals,0
Total deaths registered among health workers,2014-08-30,Totals,26
New admits to CTE so far,2014-08-30,Totals,9
Total number of hospitalized cases in CTE,2014-08-30,Totals,82
Total number of exits from CTE,2014-08-30,Totals,33
Total number of admissions to CTE,2014-08-30,Totals,1094
New contacts registered so far,2014-08-30,Totals,21
Total contacts registered from start date,2014-08-30,Totals,7734
Number of contacts to follow today,2014-08-30,Totals,1251
Number of contacts followed today,2014-08-30,Totals,1173
Number of contacts out of the track 21 days,2014-08-30,Totals,6504
Number of contacts lost to follow up,2014-08-30,Totals,76
Number of samples collected today,2014-08-30,Totals,41
Number of samples under test,2014-08-30,Totals,0
Total samples tested,2014-08-30,Totals,1858
New cases of suspects,2014-08-30,Yomou,1
New cases of probables,2014-08-30,Yomou,
New cases of confirmed,2014-08-30,Yomou,
Total new cases registered so far,2014-08-30,Yomou,1
Total cases of suspects,2014-08-30,Yomou,1
Total cases of probables,2014-08-30,Yomou,0
Total cases of confirmed,2014-08-30,Yomou,10
Cumulative (confirmed + probable + suspects),2014-08-30,Yomou,11
Total suspected non-class cases,2014-08-30,Yomou,3
New deaths registered,2014-08-30,Yomou,
Total deaths of suspects,2014-08-30,Yomou,0
Total deaths of probables,2014-08-30,Yomou,0
Total deaths of confirmed,2014-08-30,Yomou,3
Total deaths (confirmed + probables + suspects),2014-08-30,Yomou,3
Fatality rate for confirmed and probables,2014-08-30,Yomou,27%
New cases of confirmed among health workers,2014-08-30,Yomou,0
Total case of confirmed among health workers,2014-08-30,Yomou,1
New deaths registered among health workers,2014-08-30,Yomou,0
Total deaths registered among health workers,2014-08-30,Yomou,1
New admits to CTE so far,2014-08-30,Yomou,0
Total number of hospitalized cases in CTE,2014-08-30,Yomou,0
Total number of exits from CTE,2014-08-30,Yomou,0
Total number of admissions to CTE,2014-08-30,Yomou,0
New contacts registered so far,2014-08-30,Yomou,0
Total contacts registered from start date,2014-08-30,Yomou,42
Number of contacts to follow today,2014-08-30,Yomou,37
Number of contacts followed today,2014-08-30,Yomou,35
Number of contacts out of the track 21 days,2014-08-30,Yomou,0
Number of contacts lost to follow up,2014-08-30,Yomou,2
Number of samples collected today,2014-08-30,Yomou,
Number of samples under test,2014-08-30,Yomou,
Total samples tested,2014-08-30,Yomou,
New cases of suspects,2014-08-31,Beyla,
New cases of probables,2014-08-31,Beyla,
New cases of confirmed,2014-08-31,Beyla,
Total new cases registered so far,2014-08-31,Beyla,
Total cases of suspects,2014-08-31,Beyla,
Total cases of probables,2014-08-31,Beyla,
Total cases of confirmed,2014-08-31,Beyla,
Cumulative (confirmed + probable + suspects),2014-08-31,Beyla,
Total suspected non-class cases,2014-08-31,Beyla,
New deaths registered,2014-08-31,Beyla,
Total deaths of suspects,2014-08-31,Beyla,
Total deaths of probables,2014-08-31,Beyla,
Total deaths of confirmed,2014-08-31,Beyla,
Total deaths (confirmed + probables + suspects),2014-08-31,Beyla,
Fatality rate for confirmed and probables,2014-08-31,Beyla,
New cases of confirmed among health workers,2014-08-31,Beyla,
Total case of confirmed among health workers,2014-08-31,Beyla,
New deaths registered among health workers,2014-08-31,Beyla,
Total deaths registered among health workers,2014-08-31,Beyla,
New admits to CTE so far,2014-08-31,Beyla,
Total number of hospitalized cases in CTE,2014-08-31,Beyla,
Total number of exits from CTE,2014-08-31,Beyla,
Total number of admissions to CTE,2014-08-31,Beyla,
New contacts registered so far,2014-08-31,Beyla,
Total contacts registered from start date,2014-08-31,Beyla,
Number of contacts to follow today,2014-08-31,Beyla,
Number of contacts followed today,2014-08-31,Beyla,
Number of contacts out of the track 21 days,2014-08-31,Beyla,
Number of contacts lost to follow up,2014-08-31,Beyla,
Number of samples collected today,2014-08-31,Beyla,
Number of samples under test,2014-08-31,Beyla,
Total samples tested,2014-08-31,Beyla,
New cases of suspects,2014-08-31,Boffa,
New cases of probables,2014-08-31,Boffa,
New cases of confirmed,2014-08-31,Boffa,
Total new cases registered so far,2014-08-31,Boffa,0
Total cases of suspects,2014-08-31,Boffa,1
Total cases of probables,2014-08-31,Boffa,5
Total cases of confirmed,2014-08-31,Boffa,19
Cumulative (confirmed + probable + suspects),2014-08-31,Boffa,25
Total suspected non-class cases,2014-08-31,Boffa,19
New deaths registered,2014-08-31,Boffa,
Total deaths of suspects,2014-08-31,Boffa,0
Total deaths of probables,2014-08-31,Boffa,5
Total deaths of confirmed,2014-08-31,Boffa,11
Total deaths (confirmed + probables + suspects),2014-08-31,Boffa,16
Fatality rate for confirmed and probables,2014-08-31,Boffa,64%
New cases of confirmed among health workers,2014-08-31,Boffa,0
Total case of confirmed among health workers,2014-08-31,Boffa,0
New deaths registered among health workers,2014-08-31,Boffa,0
Total deaths registered among health workers,2014-08-31,Boffa,0
New admits to CTE so far,2014-08-31,Boffa,0
Total number of hospitalized cases in CTE,2014-08-31,Boffa,0
Total number of exits from CTE,2014-08-31,Boffa,0
Total number of admissions to CTE,2014-08-31,Boffa,0
New contacts registered so far,2014-08-31,Boffa,0
Total contacts registered from start date,2014-08-31,Boffa,397
Number of contacts to follow today,2014-08-31,Boffa,0
Number of contacts followed today,2014-08-31,Boffa,0
Number of contacts out of the track 21 days,2014-08-31,Boffa,397
Number of contacts lost to follow up,2014-08-31,Boffa,0
Number of samples collected today,2014-08-31,Boffa,
Number of samples under test,2014-08-31,Boffa,
Total samples tested,2014-08-31,Boffa,
New cases of suspects,2014-08-31,Conakry,1
New cases of probables,2014-08-31,Conakry,
New cases of confirmed,2014-08-31,Conakry,1
Total new cases registered so far,2014-08-31,Conakry,2
Total cases of suspects,2014-08-31,Conakry,10
Total cases of probables,2014-08-31,Conakry,8
Total cases of confirmed,2014-08-31,Conakry,110
Cumulative (confirmed + probable + suspects),2014-08-31,Conakry,128
Total suspected non-class cases,2014-08-31,Conakry,228
New deaths registered,2014-08-31,Conakry,
Total deaths of suspects,2014-08-31,Conakry,2
Total deaths of probables,2014-08-31,Conakry,8
Total deaths of confirmed,2014-08-31,Conakry,45
Total deaths (confirmed + probables + suspects),2014-08-31,Conakry,55
Fatality rate for confirmed and probables,2014-08-31,Conakry,43%
New cases of confirmed among health workers,2014-08-31,Conakry,0
Total case of confirmed among health workers,2014-08-31,Conakry,24
New deaths registered among health workers,2014-08-31,Conakry,0
Total deaths registered among health workers,2014-08-31,Conakry,11
New admits to CTE so far,2014-08-31,Conakry,9
Total number of hospitalized cases in CTE,2014-08-31,Conakry,35
Total number of exits from CTE,2014-08-31,Conakry,1
Total number of admissions to CTE,2014-08-31,Conakry,356
New contacts registered so far,2014-08-31,Conakry,0
Total contacts registered from start date,2014-08-31,Conakry,1986
Number of contacts to follow today,2014-08-31,Conakry,253
Number of contacts followed today,2014-08-31,Conakry,253
Number of contacts out of the track 21 days,2014-08-31,Conakry,1727
Number of contacts lost to follow up,2014-08-31,Conakry,0
Number of samples collected today,2014-08-31,Conakry,17
Number of samples under test,2014-08-31,Conakry,0
Total samples tested,2014-08-31,Conakry,817
New cases of suspects,2014-08-31,Coyah,
New cases of probables,2014-08-31,Coyah,
New cases of confirmed,2014-08-31,Coyah,
Total new cases registered so far,2014-08-31,Coyah,
Total cases of suspects,2014-08-31,Coyah,
Total cases of probables,2014-08-31,Coyah,
Total cases of confirmed,2014-08-31,Coyah,
Cumulative (confirmed + probable + suspects),2014-08-31,Coyah,
Total suspected non-class cases,2014-08-31,Coyah,
New deaths registered,2014-08-31,Coyah,
Total deaths of suspects,2014-08-31,Coyah,
Total deaths of probables,2014-08-31,Coyah,
Total deaths of confirmed,2014-08-31,Coyah,
Total deaths (confirmed + probables + suspects),2014-08-31,Coyah,
Fatality rate for confirmed and probables,2014-08-31,Coyah,
New cases of confirmed among health workers,2014-08-31,Coyah,
Total case of confirmed among health workers,2014-08-31,Coyah,
New deaths registered among health workers,2014-08-31,Coyah,
Total deaths registered among health workers,2014-08-31,Coyah,
New admits to CTE so far,2014-08-31,Coyah,
Total number of hospitalized cases in CTE,2014-08-31,Coyah,
Total number of exits from CTE,2014-08-31,Coyah,
Total number of admissions to CTE,2014-08-31,Coyah,
New contacts registered so far,2014-08-31,Coyah,
Total contacts registered from start date,2014-08-31,Coyah,
Number of contacts to follow today,2014-08-31,Coyah,
Number of contacts followed today,2014-08-31,Coyah,
Number of contacts out of the track 21 days,2014-08-31,Coyah,
Number of contacts lost to follow up,2014-08-31,Coyah,
Number of samples collected today,2014-08-31,Coyah,
Number of samples under test,2014-08-31,Coyah,
Total samples tested,2014-08-31,Coyah,
New cases of suspects,2014-08-31,Dabola,
New cases of probables,2014-08-31,Dabola,
New cases of confirmed,2014-08-31,Dabola,
Total new cases registered so far,2014-08-31,Dabola,0
Total cases of suspects,2014-08-31,Dabola,0
Total cases of probables,2014-08-31,Dabola,3
Total cases of confirmed,2014-08-31,Dabola,1
Cumulative (confirmed + probable + suspects),2014-08-31,Dabola,4
Total suspected non-class cases,2014-08-31,Dabola,1
New deaths registered,2014-08-31,Dabola,
Total deaths of suspects,2014-08-31,Dabola,0
Total deaths of probables,2014-08-31,Dabola,3
Total deaths of confirmed,2014-08-31,Dabola,1
Total deaths (confirmed + probables + suspects),2014-08-31,Dabola,4
Fatality rate for confirmed and probables,2014-08-31,Dabola,100%
New cases of confirmed among health workers,2014-08-31,Dabola,0
Total case of confirmed among health workers,2014-08-31,Dabola,0
New deaths registered among health workers,2014-08-31,Dabola,0
Total deaths registered among health workers,2014-08-31,Dabola,0
New admits to CTE so far,2014-08-31,Dabola,0
Total number of hospitalized cases in CTE,2014-08-31,Dabola,0
Total number of exits from CTE,2014-08-31,Dabola,0
Total number of admissions to CTE,2014-08-31,Dabola,0
New contacts registered so far,2014-08-31,Dabola,0
Total contacts registered from start date,2014-08-31,Dabola,69
Number of contacts to follow today,2014-08-31,Dabola,0
Number of contacts followed today,2014-08-31,Dabola,0
Number of contacts out of the track 21 days,2014-08-31,Dabola,69
Number of contacts lost to follow up,2014-08-31,Dabola,0
Number of samples collected today,2014-08-31,Dabola,
Number of samples under test,2014-08-31,Dabola,
Total samples tested,2014-08-31,Dabola,
New cases of suspects,2014-08-31,Dalaba,
New cases of probables,2014-08-31,Dalaba,
New cases of confirmed,2014-08-31,Dalaba,
Total new cases registered so far,2014-08-31,Dalaba,
Total cases of suspects,2014-08-31,Dalaba,
Total cases of probables,2014-08-31,Dalaba,
Total cases of confirmed,2014-08-31,Dalaba,
Cumulative (confirmed + probable + suspects),2014-08-31,Dalaba,
Total suspected non-class cases,2014-08-31,Dalaba,
New deaths registered,2014-08-31,Dalaba,
Total deaths of suspects,2014-08-31,Dalaba,
Total deaths of probables,2014-08-31,Dalaba,
Total deaths of confirmed,2014-08-31,Dalaba,
Total deaths (confirmed + probables + suspects),2014-08-31,Dalaba,
Fatality rate for confirmed and probables,2014-08-31,Dalaba,
New cases of confirmed among health workers,2014-08-31,Dalaba,
Total case of confirmed among health workers,2014-08-31,Dalaba,
New deaths registered among health workers,2014-08-31,Dalaba,
Total deaths registered among health workers,2014-08-31,Dalaba,
