,Description,Date,Location,Value
1485,Total deaths (confirmed + probables + suspects),2014-08-30,Dubreka,2
1486,Fatality rate for confirmed and probables,2014-08-30,Dubreka,14%
1487,New cases of confirmed among health workers,2014-08-30,Dubreka,0
1488,Total case of confirmed among health workers,2014-08-30,Dubreka,4
1489,New deaths registered among health workers,2014-08-30,Dubreka,0
1490,Total deaths registered among health workers,2014-08-30,Dubreka,0
1491,New admits to CTE so far,2014-08-30,Dubreka,0
1492,Total number of hospitalized cases in CTE,2014-08-30,Dubreka,0
1493,Total number of exits from CTE,2014-08-30,Dubreka,0
1494,Total number of admissions to CTE,2014-08-30,Dubreka,0
1495,New contacts registered so far,2014-08-30,Dubreka,0
1496,Total contacts registered from start date,2014-08-30,Dubreka,157
1497,Number of contacts to follow today,2014-08-30,Dubreka,157
1498,Number of contacts followed today,2014-08-30,Dubreka,154
1499,Number of contacts out of the track 21 days,2014-08-30,Dubreka,0
1500,Number of contacts lost to follow up,2014-08-30,Dubreka,3
1501,Number of samples collected today,2014-08-30,Dubreka,
1502,Number of samples under test,2014-08-30,Dubreka,
1503,Total samples tested,2014-08-30,Dubreka,
1664,New cases of suspects,2014-08-30,Forecariah,
1665,New cases of probables,2014-08-30,Forecariah,
1666,New cases of confirmed,2014-08-30,Forecariah,
1667,Total new cases registered so far,2014-08-30,Forecariah,0
1668,Total cases of suspects,2014-08-30,Forecariah,2
1669,Total cases of probables,2014-08-30,Forecariah,0
1670,Total cases of confirmed,2014-08-30,Forecariah,5
1671,Cumulative (confirmed + probable + suspects),2014-08-30,Forecariah,7
1672,Total suspected non-class cases,2014-08-30,Forecariah,6
1673,New deaths registered,2014-08-30,Forecariah,
1674,Total deaths of suspects,2014-08-30,Forecariah,0
1675,Total deaths of probables,2014-08-30,Forecariah,0
1676,Total deaths of confirmed,2014-08-30,Forecariah,3
1677,Total deaths (confirmed + probables + suspects),2014-08-30,Forecariah,3
1678,Fatality rate for confirmed and probables,2014-08-30,Forecariah,43%
1679,New cases of confirmed among health workers,2014-08-30,Forecariah,0
1680,Total case of confirmed among health workers,2014-08-30,Forecariah,0
1681,New deaths registered among health workers,2014-08-30,Forecariah,0
1682,Total deaths registered among health workers,2014-08-30,Forecariah,0
1683,New admits to CTE so far,2014-08-30,Forecariah,0
1684,Total number of hospitalized cases in CTE,2014-08-30,Forecariah,0
1685,Total number of exits from CTE,2014-08-30,Forecariah,0
1686,Total number of admissions to CTE,2014-08-30,Forecariah,0
1687,New contacts registered so far,2014-08-30,Forecariah,0
1688,Total contacts registered from start date,2014-08-30,Forecariah,0
1689,Number of contacts to follow today,2014-08-30,Forecariah,0
1690,Number of contacts followed today,2014-08-30,Forecariah,0
1691,Number of contacts out of the track 21 days,2014-08-30,Forecariah,
1692,Number of contacts lost to follow up,2014-08-30,Forecariah,0
1693,Number of samples collected today,2014-08-30,Forecariah,
1694,Number of samples under test,2014-08-30,Forecariah,
1695,Total samples tested,2014-08-30,Forecariah,
1856,New cases of suspects,2014-08-30,Gueckedou,2
1857,New cases of probables,2014-08-30,Gueckedou,
1858,New cases of confirmed,2014-08-30,Gueckedou,3
1859,Total new cases registered so far,2014-08-30,Gueckedou,5
1860,Total cases of suspects,2014-08-30,Gueckedou,4
1861,Total cases of probables,2014-08-30,Gueckedou,102
1862,Total cases of confirmed,2014-08-30,Gueckedou,211
1863,Cumulative (confirmed + probable + suspects),2014-08-30,Gueckedou,317
1864,Total suspected non-class cases,2014-08-30,Gueckedou,205
1865,New deaths registered,2014-08-30,Gueckedou,1
1866,Total deaths of suspects,2014-08-30,Gueckedou,0
1867,Total deaths of probables,2014-08-30,Gueckedou,102
1868,Total deaths of confirmed,2014-08-30,Gueckedou,169
1869,Total deaths (confirmed + probables + suspects),2014-08-30,Gueckedou,271
1870,Fatality rate for confirmed and probables,2014-08-30,Gueckedou,85%
1871,New cases of confirmed among health workers,2014-08-30,Gueckedou,0
1872,Total case of confirmed among health workers,2014-08-30,Gueckedou,8
1873,New deaths registered among health workers,2014-08-30,Gueckedou,0
1874,Total deaths registered among health workers,2014-08-30,Gueckedou,6
1875,New admits to CTE so far,2014-08-30,Gueckedou,4
1876,Total number of hospitalized cases in CTE,2014-08-30,Gueckedou,55
1877,Total number of exits from CTE,2014-08-30,Gueckedou,12
1878,Total number of admissions to CTE,2014-08-30,Gueckedou,693
1879,New contacts registered so far,2014-08-30,Gueckedou,0
1880,Total contacts registered from start date,2014-08-30,Gueckedou,3418
1881,Number of contacts to follow today,2014-08-30,Gueckedou,223
1882,Number of contacts followed today,2014-08-30,Gueckedou,221
1883,Number of contacts out of the track 21 days,2014-08-30,Gueckedou,3116
1884,Number of contacts lost to follow up,2014-08-30,Gueckedou,0
1885,Number of samples collected today,2014-08-30,Gueckedou,17
1886,Number of samples under test,2014-08-30,Gueckedou,0
1887,Total samples tested,2014-08-30,Gueckedou,1058
2048,New cases of suspects,2014-08-30,Kerouane,
2049,New cases of probables,2014-08-30,Kerouane,
2050,New cases of confirmed,2014-08-30,Kerouane,
2051,Total new cases registered so far,2014-08-30,Kerouane,
2052,Total cases of suspects,2014-08-30,Kerouane,
2053,Total cases of probables,2014-08-30,Kerouane,
2054,Total cases of confirmed,2014-08-30,Kerouane,
2055,Cumulative (confirmed + probable + suspects),2014-08-30,Kerouane,
2056,Total suspected non-class cases,2014-08-30,Kerouane,
2057,New deaths registered,2014-08-30,Kerouane,
2058,Total deaths of suspects,2014-08-30,Kerouane,
2059,Total deaths of probables,2014-08-30,Kerouane,
2060,Total deaths of confirmed,2014-08-30,Kerouane,
2061,Total deaths (confirmed + probables + suspects),2014-08-30,Kerouane,
2062,Fatality rate for confirmed and probables,2014-08-30,Kerouane,
2063,New cases of confirmed among health workers,2014-08-30,Kerouane,
2064,Total case of confirmed among health workers,2014-08-30,Kerouane,
2065,New deaths registered among health workers,2014-08-30,Kerouane,
2066,Total deaths registered among health workers,2014-08-30,Kerouane,
2067,New admits to CTE so far,2014-08-30,Kerouane,
2068,Total number of hospitalized cases in CTE,2014-08-30,Kerouane,
2069,Total number of exits from CTE,2014-08-30,Kerouane,
2070,Total number of admissions to CTE,2014-08-30,Kerouane,
2071,New contacts registered so far,2014-08-30,Kerouane,
2072,Total contacts registered from start date,2014-08-30,Kerouane,
2073,Number of contacts to follow today,2014-08-30,Kerouane,
2074,Number of contacts followed today,2014-08-30,Kerouane,
2075,Number of contacts out of the track 21 days,2014-08-30,Kerouane,
2076,Number of contacts lost to follow up,2014-08-30,Kerouane,
2077,Number of samples collected today,2014-08-30,Kerouane,
2078,Number of samples under test,2014-08-30,Kerouane,
2079,Total samples tested,2014-08-30,Kerouane,
2240,New cases of suspects,2014-08-30,Kindia,
2241,New cases of probables,2014-08-30,Kindia,
2242,New cases of confirmed,2014-08-30,Kindia,
2243,Total new cases registered so far,2014-08-30,Kindia,
2244,Total cases of suspects,2014-08-30,Kindia,
2245,Total cases of probables,2014-08-30,Kindia,
2246,Total cases of confirmed,2014-08-30,Kindia,
2247,Cumulative (confirmed + probable + suspects),2014-08-30,Kindia,
2248,Total suspected non-class cases,2014-08-30,Kindia,
2249,New deaths registered,2014-08-30,Kindia,
2250,Total deaths of suspects,2014-08-30,Kindia,
2251,Total deaths of probables,2014-08-30,Kindia,
2252,Total deaths of confirmed,2014-08-30,Kindia,
2253,Total deaths (confirmed + probables + suspects),2014-08-30,Kindia,
2254,Fatality rate for confirmed and probables,2014-08-30,Kindia,
2255,New cases of confirmed among health workers,2014-08-30,Kindia,
2256,Total case of confirmed among health workers,2014-08-30,Kindia,
2257,New deaths registered among health workers,2014-08-30,Kindia,
2258,Total deaths registered among health workers,2014-08-30,Kindia,
2259,New admits to CTE so far,2014-08-30,Kindia,
2260,Total number of hospitalized cases in CTE,2014-08-30,Kindia,
2261,Total number of exits from CTE,2014-08-30,Kindia,
2262,Total number of admissions to CTE,2014-08-30,Kindia,
2263,New contacts registered so far,2014-08-30,Kindia,
2264,Total contacts registered from start date,2014-08-30,Kindia,
2265,Number of contacts to follow today,2014-08-30,Kindia,
2266,Number of contacts followed today,2014-08-30,Kindia,
2267,Number of contacts out of the track 21 days,2014-08-30,Kindia,
2268,Number of contacts lost to follow up,2014-08-30,Kindia,
2269,Number of samples collected today,2014-08-30,Kindia,
2270,Number of samples under test,2014-08-30,Kindia,
2271,Total samples tested,2014-08-30,Kindia,
2432,New cases of suspects,2014-08-30,Kissidougou,
2433,New cases of probables,2014-08-30,Kissidougou,
2434,New cases of confirmed,2014-08-30,Kissidougou,
2435,Total new cases registered so far,2014-08-30,Kissidougou,0
2436,Total cases of suspects,2014-08-30,Kissidougou,0
2437,Total cases of probables,2014-08-30,Kissidougou,5
2438,Total cases of confirmed,2014-08-30,Kissidougou,2
2439,Cumulative (confirmed + probable + suspects),2014-08-30,Kissidougou,7
2440,Total suspected non-class cases,2014-08-30,Kissidougou,7
2441,New deaths registered,2014-08-30,Kissidougou,
2442,Total deaths of suspects,2014-08-30,Kissidougou,0
2443,Total deaths of probables,2014-08-30,Kissidougou,5
2444,Total deaths of confirmed,2014-08-30,Kissidougou,1
2445,Total deaths (confirmed + probables + suspects),2014-08-30,Kissidougou,6
2446,Fatality rate for confirmed and probables,2014-08-30,Kissidougou,86%
2447,New cases of confirmed among health workers,2014-08-30,Kissidougou,0
2448,Total case of confirmed among health workers,2014-08-30,Kissidougou,0
2449,New deaths registered among health workers,2014-08-30,Kissidougou,0
2450,Total deaths registered among health workers,2014-08-30,Kissidougou,0
2451,New admits to CTE so far,2014-08-30,Kissidougou,0
2452,Total number of hospitalized cases in CTE,2014-08-30,Kissidougou,0
2453,Total number of exits from CTE,2014-08-30,Kissidougou,0
2454,Total number of admissions to CTE,2014-08-30,Kissidougou,0
2455,New contacts registered so far,2014-08-30,Kissidougou,0
2456,Total contacts registered from start date,2014-08-30,Kissidougou,159
2457,Number of contacts to follow today,2014-08-30,Kissidougou,0
2458,Number of contacts followed today,2014-08-30,Kissidougou,0
2459,Number of contacts out of the track 21 days,2014-08-30,Kissidougou,159
2460,Number of contacts lost to follow up,2014-08-30,Kissidougou,0
2461,Number of samples collected today,2014-08-30,Kissidougou,
2462,Number of samples under test,2014-08-30,Kissidougou,
2463,Total samples tested,2014-08-30,Kissidougou,
2624,New cases of suspects,2014-08-30,Kouroussa,
2625,New cases of probables,2014-08-30,Kouroussa,
2626,New cases of confirmed,2014-08-30,Kouroussa,
2627,Total new cases registered so far,2014-08-30,Kouroussa,0
2628,Total cases of suspects,2014-08-30,Kouroussa,0
2629,Total cases of probables,2014-08-30,Kouroussa,2
2630,Total cases of confirmed,2014-08-30,Kouroussa,2
2631,Cumulative (confirmed + probable + suspects),2014-08-30,Kouroussa,4
2632,Total suspected non-class cases,2014-08-30,Kouroussa,1
2633,New deaths registered,2014-08-30,Kouroussa,
2634,Total deaths of suspects,2014-08-30,Kouroussa,0
2635,Total deaths of probables,2014-08-30,Kouroussa,2
2636,Total deaths of confirmed,2014-08-30,Kouroussa,2
2637,Total deaths (confirmed + probables + suspects),2014-08-30,Kouroussa,4
2638,Fatality rate for confirmed and probables,2014-08-30,Kouroussa,100%
2639,New cases of confirmed among health workers,2014-08-30,Kouroussa,0
2640,Total case of confirmed among health workers,2014-08-30,Kouroussa,0
2641,New deaths registered among health workers,2014-08-30,Kouroussa,0
2642,Total deaths registered among health workers,2014-08-30,Kouroussa,0
2643,New admits to CTE so far,2014-08-30,Kouroussa,0
2644,Total number of hospitalized cases in CTE,2014-08-30,Kouroussa,0
2645,Total number of exits from CTE,2014-08-30,Kouroussa,0
2646,Total number of admissions to CTE,2014-08-30,Kouroussa,0
2647,New contacts registered so far,2014-08-30,Kouroussa,0
2648,Total contacts registered from start date,2014-08-30,Kouroussa,94
2649,Number of contacts to follow today,2014-08-30,Kouroussa,48
2650,Number of contacts followed today,2014-08-30,Kouroussa,8
2651,Number of contacts out of the track 21 days,2014-08-30,Kouroussa,141
2652,Number of contacts lost to follow up,2014-08-30,Kouroussa,0
2653,Number of samples collected today,2014-08-30,Kouroussa,
2654,Number of samples under test,2014-08-30,Kouroussa,
2655,Total samples tested,2014-08-30,Kouroussa,
2816,New cases of suspects,2014-08-30,Lola,
2817,New cases of probables,2014-08-30,Lola,
2818,New cases of confirmed,2014-08-30,Lola,
2819,Total new cases registered so far,2014-08-30,Lola,
2820,Total cases of suspects,2014-08-30,Lola,
2821,Total cases of probables,2014-08-30,Lola,
2822,Total cases of confirmed,2014-08-30,Lola,
2823,Cumulative (confirmed + probable + suspects),2014-08-30,Lola,
2824,Total suspected non-class cases,2014-08-30,Lola,
2825,New deaths registered,2014-08-30,Lola,
2826,Total deaths of suspects,2014-08-30,Lola,
2827,Total deaths of probables,2014-08-30,Lola,
2828,Total deaths of confirmed,2014-08-30,Lola,
2829,Total deaths (confirmed + probables + suspects),2014-08-30,Lola,
2830,Fatality rate for confirmed and probables,2014-08-30,Lola,
2831,New cases of confirmed among health workers,2014-08-30,Lola,
2832,Total case of confirmed among health workers,2014-08-30,Lola,
2833,New deaths registered among health workers,2014-08-30,Lola,
2834,Total deaths registered among health workers,2014-08-30,Lola,
2835,New admits to CTE so far,2014-08-30,Lola,
2836,Total number of hospitalized cases in CTE,2014-08-30,Lola,
2837,Total number of exits from CTE,2014-08-30,Lola,
2838,Total number of admissions to CTE,2014-08-30,Lola,
2839,New contacts registered so far,2014-08-30,Lola,
2840,Total contacts registered from start date,2014-08-30,Lola,
2841,Number of contacts to follow today,2014-08-30,Lola,
2842,Number of contacts followed today,2014-08-30,Lola,
2843,Number of contacts out of the track 21 days,2014-08-30,Lola,
2844,Number of contacts lost to follow up,2014-08-30,Lola,
2845,Number of samples collected today,2014-08-30,Lola,
2846,Number of samples under test,2014-08-30,Lola,
2847,Total samples tested,2014-08-30,Lola,
3008,New cases of suspects,2014-08-30,Macenta,12
3009,New cases of probables,2014-08-30,Macenta,
3010,New cases of confirmed,2014-08-30,Macenta,4
3011,Total new cases registered so far,2014-08-30,Macenta,16
3012,Total cases of suspects,2014-08-30,Macenta,14
3013,Total cases of probables,2014-08-30,Macenta,11
3014,Total cases of confirmed,2014-08-30,Macenta,117
3015,Cumulative (confirmed + probable + suspects),2014-08-30,Macenta,142
3016,Total suspected non-class cases,2014-08-30,Macenta,74
3017,New deaths registered,2014-08-30,Macenta,2
3018,Total deaths of suspects,2014-08-30,Macenta,0
3019,Total deaths of probables,2014-08-30,Macenta,11
3020,Total deaths of confirmed,2014-08-30,Macenta,69
3021,Total deaths (confirmed + probables + suspects),2014-08-30,Macenta,80
3022,Fatality rate for confirmed and probables,2014-08-30,Macenta,56%
3023,New cases of confirmed among health workers,2014-08-30,Macenta,0
3024,Total case of confirmed among health workers,2014-08-30,Macenta,8
3025,New deaths registered among health workers,2014-08-30,Macenta,0
3026,Total deaths registered among health workers,2014-08-30,Macenta,6
3027,New admits to CTE so far,2014-08-30,Macenta,0
3028,Total number of hospitalized cases in CTE,2014-08-30,Macenta,0
3029,Total number of exits from CTE,2014-08-30,Macenta,0
3030,Total number of admissions to CTE,2014-08-30,Macenta,0
3031,New contacts registered so far,2014-08-30,Macenta,0
3032,Total contacts registered from start date,2014-08-30,Macenta,680
3033,Number of contacts to follow today,2014-08-30,Macenta,357
3034,Number of contacts followed today,2014-08-30,Macenta,293
3035,Number of contacts out of the track 21 days,2014-08-30,Macenta,434
3036,Number of contacts lost to follow up,2014-08-30,Macenta,64
3037,Number of samples collected today,2014-08-30,Macenta,0
3038,Number of samples under test,2014-08-30,Macenta,0
3039,Total samples tested,2014-08-30,Macenta,0
3200,New cases of suspects,2014-08-30,Nzerekore,
3201,New cases of probables,2014-08-30,Nzerekore,
3202,New cases of confirmed,2014-08-30,Nzerekore,
3203,Total new cases registered so far,2014-08-30,Nzerekore,0
3204,Total cases of suspects,2014-08-30,Nzerekore,0
3205,Total cases of probables,2014-08-30,Nzerekore,1
3206,Total cases of confirmed,2014-08-30,Nzerekore,10
3207,Cumulative (confirmed + probable + suspects),2014-08-30,Nzerekore,11
3208,Total suspected non-class cases,2014-08-30,Nzerekore,7
3209,New deaths registered,2014-08-30,Nzerekore,
3210,Total deaths of suspects,2014-08-30,Nzerekore,0
3211,Total deaths of probables,2014-08-30,Nzerekore,1
3212,Total deaths of confirmed,2014-08-30,Nzerekore,5
3213,Total deaths (confirmed + probables + suspects),2014-08-30,Nzerekore,6
3214,Fatality rate for confirmed and probables,2014-08-30,Nzerekore,55%
3215,New cases of confirmed among health workers,2014-08-30,Nzerekore,0
3216,Total case of confirmed among health workers,2014-08-30,Nzerekore,1
3217,New deaths registered among health workers,2014-08-30,Nzerekore,0
3218,Total deaths registered among health workers,2014-08-30,Nzerekore,1
3219,New admits to CTE so far,2014-08-30,Nzerekore,0
3220,Total number of hospitalized cases in CTE,2014-08-30,Nzerekore,0
3221,Total number of exits from CTE,2014-08-30,Nzerekore,0
3222,Total number of admissions to CTE,2014-08-30,Nzerekore,0
3223,New contacts registered so far,2014-08-30,Nzerekore,13
3224,Total contacts registered from start date,2014-08-30,Nzerekore,195
3225,Number of contacts to follow today,2014-08-30,Nzerekore,79
3226,Number of contacts followed today,2014-08-30,Nzerekore,77
3227,Number of contacts out of the track 21 days,2014-08-30,Nzerekore,0
3228,Number of contacts lost to follow up,2014-08-30,Nzerekore,2
3229,Number of samples collected today,2014-08-30,Nzerekore,
3230,Number of samples under test,2014-08-30,Nzerekore,
3231,Total samples tested,2014-08-30,Nzerekore,
3392,New cases of suspects,2014-08-30,Pita,
3393,New cases of probables,2014-08-30,Pita,
3394,New cases of confirmed,2014-08-30,Pita,
3395,Total new cases registered so far,2014-08-30,Pita,0
3396,Total cases of suspects,2014-08-30,Pita,0
3397,Total cases of probables,2014-08-30,Pita,1
3398,Total cases of confirmed,2014-08-30,Pita,5
3399,Cumulative (confirmed + probable + suspects),2014-08-30,Pita,6
3400,Total suspected non-class cases,2014-08-30,Pita,10
3401,New deaths registered,2014-08-30,Pita,
3402,Total deaths of suspects,2014-08-30,Pita,0
3403,Total deaths of probables,2014-08-30,Pita,1
3404,Total deaths of confirmed,2014-08-30,Pita,3
3405,Total deaths (confirmed + probables + suspects),2014-08-30,Pita,4
3406,Fatality rate for confirmed and probables,2014-08-30,Pita,67%
3407,New cases of confirmed among health workers,2014-08-30,Pita,0
3408,Total case of confirmed among health workers,2014-08-30,Pita,0
3409,New deaths registered among health workers,2014-08-30,Pita,0
3410,Total deaths registered among health workers,2014-08-30,Pita,0
3411,New admits to CTE so far,2014-08-30,Pita,0
3412,Total number of hospitalized cases in CTE,2014-08-30,Pita,0
3413,Total number of exits from CTE,2014-08-30,Pita,0
3414,Total number of admissions to CTE,2014-08-30,Pita,0
3415,New contacts registered so far,2014-08-30,Pita,0
3416,Total contacts registered from start date,2014-08-30,Pita,137
3417,Number of contacts to follow today,2014-08-30,Pita,97
3418,Number of contacts followed today,2014-08-30,Pita,92
3419,Number of contacts out of the track 21 days,2014-08-30,Pita,116
3420,Number of contacts lost to follow up,2014-08-30,Pita,5
3421,Number of samples collected today,2014-08-30,Pita,
3422,Number of samples under test,2014-08-30,Pita,
3423,Total samples tested,2014-08-30,Pita,
3584,New cases of suspects,2014-08-30,Siguiri,
3585,New cases of probables,2014-08-30,Siguiri,
3586,New cases of confirmed,2014-08-30,Siguiri,
3587,Total new cases registered so far,2014-08-30,Siguiri,0
3588,Total cases of suspects,2014-08-30,Siguiri,0
3589,Total cases of probables,2014-08-30,Siguiri,0
3590,Total cases of confirmed,2014-08-30,Siguiri,6
3591,Cumulative (confirmed + probable + suspects),2014-08-30,Siguiri,6
3592,Total suspected non-class cases,2014-08-30,Siguiri,8
3593,New deaths registered,2014-08-30,Siguiri,
3594,Total deaths of suspects,2014-08-30,Siguiri,0
3595,Total deaths of probables,2014-08-30,Siguiri,0
3596,Total deaths of confirmed,2014-08-30,Siguiri,3
3597,Total deaths (confirmed + probables + suspects),2014-08-30,Siguiri,3
3598,Fatality rate for confirmed and probables,2014-08-30,Siguiri,50%
3599,New cases of confirmed among health workers,2014-08-30,Siguiri,0
3600,Total case of confirmed among health workers,2014-08-30,Siguiri,2
3601,New deaths registered among health workers,2014-08-30,Siguiri,0
3602,Total deaths registered among health workers,2014-08-30,Siguiri,0
3603,New admits to CTE so far,2014-08-30,Siguiri,0
3604,Total number of hospitalized cases in CTE,2014-08-30,Siguiri,0
3605,Total number of exits from CTE,2014-08-30,Siguiri,0
3606,Total number of admissions to CTE,2014-08-30,Siguiri,13
3607,New contacts registered so far,2014-08-30,Siguiri,0
3608,Total contacts registered from start date,2014-08-30,Siguiri,141
3609,Number of contacts to follow today,2014-08-30,Siguiri,0
3610,Number of contacts followed today,2014-08-30,Siguiri,0
3611,Number of contacts out of the track 21 days,2014-08-30,Siguiri,40
3612,Number of contacts lost to follow up,2014-08-30,Siguiri,0
3613,Number of samples collected today,2014-08-30,Siguiri,
3614,Number of samples under test,2014-08-30,Siguiri,
3615,Total samples tested,2014-08-30,Siguiri,
3776,New cases of suspects,2014-08-30,Telimele,
3777,New cases of probables,2014-08-30,Telimele,
3778,New cases of confirmed,2014-08-30,Telimele,
3779,Total new cases registered so far,2014-08-30,Telimele,0
3780,Total cases of suspects,2014-08-30,Telimele,0
3781,Total cases of probables,2014-08-30,Telimele,3
3782,Total cases of confirmed,2014-08-30,Telimele,23
3783,Cumulative (confirmed + probable + suspects),2014-08-30,Telimele,26
3784,Total suspected non-class cases,2014-08-30,Telimele,18
3785,New deaths registered,2014-08-30,Telimele,
3786,Total deaths of suspects,2014-08-30,Telimele,0
3787,Total deaths of probables,2014-08-30,Telimele,3
3788,Total deaths of confirmed,2014-08-30,Telimele,7
3789,Total deaths (confirmed + probables + suspects),2014-08-30,Telimele,10
3790,Fatality rate for confirmed and probables,2014-08-30,Telimele,38%
3791,New cases of confirmed among health workers,2014-08-30,Telimele,0
3792,Total case of confirmed among health workers,2014-08-30,Telimele,2
3793,New deaths registered among health workers,2014-08-30,Telimele,0
3794,Total deaths registered among health workers,2014-08-30,Telimele,1
3795,New admits to CTE so far,2014-08-30,Telimele,0
3796,Total number of hospitalized cases in CTE,2014-08-30,Telimele,0
3797,Total number of exits from CTE,2014-08-30,Telimele,0
3798,Total number of admissions to CTE,2014-08-30,Telimele,41
3799,New contacts registered so far,2014-08-30,Telimele,0
3800,Total contacts registered from start date,2014-08-30,Telimele,259
3801,Number of contacts to follow today,2014-08-30,Telimele,0
3802,Number of contacts followed today,2014-08-30,Telimele,0
3803,Number of contacts out of the track 21 days,2014-08-30,Telimele,397
3804,Number of contacts lost to follow up,2014-08-30,Telimele,0
3805,Number of samples collected today,2014-08-30,Telimele,
3806,Number of samples under test,2014-08-30,Telimele,
3807,Total samples tested,2014-08-30,Telimele,
3968,New cases of suspects,2014-08-30,Totals,15
3969,New cases of probables,2014-08-30,Totals,0
3970,New cases of confirmed,2014-08-30,Totals,9
3971,Total new cases registered so far,2014-08-30,Totals,24
3972,Total cases of suspects,2014-08-30,Totals,32
3973,Total cases of probables,2014-08-30,Totals,142
3974,Total cases of confirmed,2014-08-30,Totals,533
3975,Cumulative (confirmed + probable + suspects),2014-08-30,Totals,707
3976,Total suspected non-class cases,2014-08-30,Totals,560
3977,New deaths registered,2014-08-30,Totals,5
3978,Total deaths of suspects,2014-08-30,Totals,2
3979,Total deaths of probables,2014-08-30,Totals,142
3980,Total deaths of confirmed,2014-08-30,Totals,324
3981,Total deaths (confirmed + probables + suspects),2014-08-30,Totals,468
3982,Fatality rate for confirmed and probables,2014-08-30,Totals,66%
3983,New cases of confirmed among health workers,2014-08-30,Totals,0
3984,Total case of confirmed among health workers,2014-08-30,Totals,50
3985,New deaths registered among health workers,2014-08-30,Totals,0
3986,Total deaths registered among health workers,2014-08-30,Totals,26
3987,New admits to CTE so far,2014-08-30,Totals,9
3988,Total number of hospitalized cases in CTE,2014-08-30,Totals,82
3989,Total number of exits from CTE,2014-08-30,Totals,33
3990,Total number of admissions to CTE,2014-08-30,Totals,1094
3991,New contacts registered so far,2014-08-30,Totals,21
3992,Total contacts registered from start date,2014-08-30,Totals,7734
3993,Number of contacts to follow today,2014-08-30,Totals,1251
3994,Number of contacts followed today,2014-08-30,Totals,1173
3995,Number of contacts out of the track 21 days,2014-08-30,Totals,6504
3996,Number of contacts lost to follow up,2014-08-30,Totals,76
3997,Number of samples collected today,2014-08-30,Totals,41
3998,Number of samples under test,2014-08-30,Totals,0
3999,Total samples tested,2014-08-30,Totals,1858
4160,New cases of suspects,2014-08-30,Yomou,1
4161,New cases of probables,2014-08-30,Yomou,
4162,New cases of confirmed,2014-08-30,Yomou,
4163,Total new cases registered so far,2014-08-30,Yomou,1
4164,Total cases of suspects,2014-08-30,Yomou,1
4165,Total cases of probables,2014-08-30,Yomou,0
4166,Total cases of confirmed,2014-08-30,Yomou,10
4167,Cumulative (confirmed + probable + suspects),2014-08-30,Yomou,11
4168,Total suspected non-class cases,2014-08-30,Yomou,3
4169,New deaths registered,2014-08-30,Yomou,
4170,Total deaths of suspects,2014-08-30,Yomou,0
4171,Total deaths of probables,2014-08-30,Yomou,0
4172,Total deaths of confirmed,2014-08-30,Yomou,3
4173,Total deaths (confirmed + probables + suspects),2014-08-30,Yomou,3
4174,Fatality rate for confirmed and probables,2014-08-30,Yomou,27%
4175,New cases of confirmed among health workers,2014-08-30,Yomou,0
4176,Total case of confirmed among health workers,2014-08-30,Yomou,1
4177,New deaths registered among health workers,2014-08-30,Yomou,0
4178,Total deaths registered among health workers,2014-08-30,Yomou,1
4179,New admits to CTE so far,2014-08-30,Yomou,0
4180,Total number of hospitalized cases in CTE,2014-08-30,Yomou,0
4181,Total number of exits from CTE,2014-08-30,Yomou,0
4182,Total number of admissions to CTE,2014-08-30,Yomou,0
4183,New contacts registered so far,2014-08-30,Yomou,0
4184,Total contacts registered from start date,2014-08-30,Yomou,42
4185,Number of contacts to follow today,2014-08-30,Yomou,37
4186,Number of contacts followed today,2014-08-30,Yomou,35
4187,Number of contacts out of the track 21 days,2014-08-30,Yomou,0
4188,Number of contacts lost to follow up,2014-08-30,Yomou,2
4189,Number of samples collected today,2014-08-30,Yomou,
4190,Number of samples under test,2014-08-30,Yomou,
4191,Total samples tested,2014-08-30,Yomou,
160,New cases of suspects,2014-08-31,Beyla,
161,New cases of probables,2014-08-31,Beyla,
162,New cases of confirmed,2014-08-31,Beyla,
163,Total new cases registered so far,2014-08-31,Beyla,
164,Total cases of suspects,2014-08-31,Beyla,
165,Total cases of probables,2014-08-31,Beyla,
166,Total cases of confirmed,2014-08-31,Beyla,
167,Cumulative (confirmed + probable + suspects),2014-08-31,Beyla,
168,Total suspected non-class cases,2014-08-31,Beyla,
169,New deaths registered,2014-08-31,Beyla,
170,Total deaths of suspects,2014-08-31,Beyla,
171,Total deaths of probables,2014-08-31,Beyla,
172,Total deaths of confirmed,2014-08-31,Beyla,
173,Total deaths (confirmed + probables + suspects),2014-08-31,Beyla,
174,Fatality rate for confirmed and probables,2014-08-31,Beyla,
175,New cases of confirmed among health workers,2014-08-31,Beyla,
176,Total case of confirmed among health workers,2014-08-31,Beyla,
177,New deaths registered among health workers,2014-08-31,Beyla,
178,Total deaths registered among health workers,2014-08-31,Beyla,
179,New admits to CTE so far,2014-08-31,Beyla,
180,Total number of hospitalized cases in CTE,2014-08-31,Beyla,
181,Total number of exits from CTE,2014-08-31,Beyla,
182,Total number of admissions to CTE,2014-08-31,Beyla,
183,New contacts registered so far,2014-08-31,Beyla,
184,Total contacts registered from start date,2014-08-31,Beyla,
185,Number of contacts to follow today,2014-08-31,Beyla,
186,Number of contacts followed today,2014-08-31,Beyla,
187,Number of contacts out of the track 21 days,2014-08-31,Beyla,
188,Number of contacts lost to follow up,2014-08-31,Beyla,
