,Variable,Date,Location,Value
23759,Total suspected cases,10/9/2014,Nimba County,
23760,Total probable cases,10/9/2014,Nimba County,
23761,Total confirmed cases,10/9/2014,Nimba County,
23762,Total Number of Confirmed Cases of Sierra Leonean Nationality,10/9/2014,Nimba County,0.0
23763,Total Number of Confirmed Cases of Guinean Nationality,10/9/2014,Nimba County,0.0
23764,Cumulative (confirmed + probable + suspects),10/9/2014,Nimba County,252.0
25566,Specimens collected,10/9/2014,River Gee County,
25567,Specimens pending for testing,10/9/2014,River Gee County,
25568,Total specimens tested,10/9/2014,River Gee County,
25569,Newly reported deaths,10/9/2014,River Gee County,0.0
25570,Total death/s in confirmed cases,10/9/2014,River Gee County,
25571,Total death/s in probable cases,10/9/2014,River Gee County,
25572,Total death/s in suspected cases,10/9/2014,River Gee County,
25573,"Total death/s in confirmed, probable, suspected cases",10/9/2014,River Gee County,6.0
25574,Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/9/2014,River Gee County,
25575,Newly reported contacts,10/9/2014,River Gee County,0.0
25576,Total contacts listed,10/9/2014,River Gee County,31.0
25577,Currently under follow-up,10/9/2014,River Gee County,3.0
25578,Contacts seen,10/9/2014,River Gee County,0.0
25579,Contacts who completed 21 day follow-up,10/9/2014,River Gee County,0.0
25580,Contacts lost to follow-up,10/9/2014,River Gee County,0.0
25581,New admissions,10/9/2014,River Gee County,
25582,Total no. currently in Treatment Units,10/9/2014,River Gee County,
25583,Total discharges,10/9/2014,River Gee County,
25584,Cumulative admission/isolation,10/9/2014,River Gee County,
25585,Newly Reported Cases in HCW,10/9/2014,River Gee County,
25586,Cumulative cases among HCW,10/9/2014,River Gee County,
25587,Newly Reported deaths in HCW,10/9/2014,River Gee County,
25588,Cumulative deaths among HCW,10/9/2014,River Gee County,
25589,New Case/s (Suspected),10/9/2014,River Gee County,0.0
25590,New Case/s (Probable),10/9/2014,River Gee County,0.0
25591,New case/s (confirmed),10/9/2014,River Gee County,0.0
25592,Total suspected cases,10/9/2014,River Gee County,
25593,Total probable cases,10/9/2014,River Gee County,
25594,Total confirmed cases,10/9/2014,River Gee County,
25595,Total Number of Confirmed Cases of Sierra Leonean Nationality,10/9/2014,River Gee County,0.0
25596,Total Number of Confirmed Cases of Guinean Nationality,10/9/2014,River Gee County,0.0
25597,Cumulative (confirmed + probable + suspects),10/9/2014,River Gee County,19.0
27399,Specimens collected,10/9/2014,RiverCess County,
27400,Specimens pending for testing,10/9/2014,RiverCess County,
27401,Total specimens tested,10/9/2014,RiverCess County,
27402,Newly reported deaths,10/9/2014,RiverCess County,0.0
27403,Total death/s in confirmed cases,10/9/2014,RiverCess County,8.0
27404,Total death/s in probable cases,10/9/2014,RiverCess County,
27405,Total death/s in suspected cases,10/9/2014,RiverCess County,
27406,"Total death/s in confirmed, probable, suspected cases",10/9/2014,RiverCess County,
27407,Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/9/2014,RiverCess County,
27408,Newly reported contacts,10/9/2014,RiverCess County,0.0
27409,Total contacts listed,10/9/2014,RiverCess County,113.0
27410,Currently under follow-up,10/9/2014,RiverCess County,66.0
27411,Contacts seen,10/9/2014,RiverCess County,0.0
27412,Contacts who completed 21 day follow-up,10/9/2014,RiverCess County,0.0
27413,Contacts lost to follow-up,10/9/2014,RiverCess County,0.0
27414,New admissions,10/9/2014,RiverCess County,
27415,Total no. currently in Treatment Units,10/9/2014,RiverCess County,
27416,Total discharges,10/9/2014,RiverCess County,
27417,Cumulative admission/isolation,10/9/2014,RiverCess County,
27418,Newly Reported Cases in HCW,10/9/2014,RiverCess County,
27419,Cumulative cases among HCW,10/9/2014,RiverCess County,
27420,Newly Reported deaths in HCW,10/9/2014,RiverCess County,
27421,Cumulative deaths among HCW,10/9/2014,RiverCess County,
27422,New Case/s (Suspected),10/9/2014,RiverCess County,0.0
27423,New Case/s (Probable),10/9/2014,RiverCess County,0.0
27424,New case/s (confirmed),10/9/2014,RiverCess County,0.0
27425,Total suspected cases,10/9/2014,RiverCess County,
27426,Total probable cases,10/9/2014,RiverCess County,
27427,Total confirmed cases,10/9/2014,RiverCess County,
27428,Total Number of Confirmed Cases of Sierra Leonean Nationality,10/9/2014,RiverCess County,0.0
27429,Total Number of Confirmed Cases of Guinean Nationality,10/9/2014,RiverCess County,0.0
27430,Cumulative (confirmed + probable + suspects),10/9/2014,RiverCess County,10.0
29232,Specimens collected,10/9/2014,Sinoe County,
29233,Specimens pending for testing,10/9/2014,Sinoe County,
29234,Total specimens tested,10/9/2014,Sinoe County,
29235,Newly reported deaths,10/9/2014,Sinoe County,1.0
29236,Total death/s in confirmed cases,10/9/2014,Sinoe County,3.0
29237,Total death/s in probable cases,10/9/2014,Sinoe County,
29238,Total death/s in suspected cases,10/9/2014,Sinoe County,
29239,"Total death/s in confirmed, probable, suspected cases",10/9/2014,Sinoe County,
29240,Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/9/2014,Sinoe County,
29241,Newly reported contacts,10/9/2014,Sinoe County,0.0
29242,Total contacts listed,10/9/2014,Sinoe County,78.0
29243,Currently under follow-up,10/9/2014,Sinoe County,63.0
29244,Contacts seen,10/9/2014,Sinoe County,0.0
29245,Contacts who completed 21 day follow-up,10/9/2014,Sinoe County,0.0
29246,Contacts lost to follow-up,10/9/2014,Sinoe County,0.0
29247,New admissions,10/9/2014,Sinoe County,
29248,Total no. currently in Treatment Units,10/9/2014,Sinoe County,
29249,Total discharges,10/9/2014,Sinoe County,
29250,Cumulative admission/isolation,10/9/2014,Sinoe County,
29251,Newly Reported Cases in HCW,10/9/2014,Sinoe County,
29252,Cumulative cases among HCW,10/9/2014,Sinoe County,
29253,Newly Reported deaths in HCW,10/9/2014,Sinoe County,
29254,Cumulative deaths among HCW,10/9/2014,Sinoe County,
29255,New Case/s (Suspected),10/9/2014,Sinoe County,1.0
29256,New Case/s (Probable),10/9/2014,Sinoe County,0.0
29257,New case/s (confirmed),10/9/2014,Sinoe County,0.0
29258,Total suspected cases,10/9/2014,Sinoe County,
29259,Total probable cases,10/9/2014,Sinoe County,
29260,Total confirmed cases,10/9/2014,Sinoe County,
29261,Total Number of Confirmed Cases of Sierra Leonean Nationality,10/9/2014,Sinoe County,0.0
29262,Total Number of Confirmed Cases of Guinean Nationality,10/9/2014,Sinoe County,0.0
29263,Cumulative (confirmed + probable + suspects),10/9/2014,Sinoe County,17.0
31065,Specimens collected,10/9/2014,Unnamed: 3,
31066,Specimens pending for testing,10/9/2014,Unnamed: 3,
31067,Total specimens tested,10/9/2014,Unnamed: 3,
31068,Newly reported deaths,10/9/2014,Unnamed: 3,
31069,Total death/s in confirmed cases,10/9/2014,Unnamed: 3,
31070,Total death/s in probable cases,10/9/2014,Unnamed: 3,
31071,Total death/s in suspected cases,10/9/2014,Unnamed: 3,
31072,"Total death/s in confirmed, probable, suspected cases",10/9/2014,Unnamed: 3,
31073,Case Fatality Rate (CFR) - Confirmed & Probable Cases,10/9/2014,Unnamed: 3,
31074,Newly reported contacts,10/9/2014,Unnamed: 3,
31075,Total contacts listed,10/9/2014,Unnamed: 3,
31076,Currently under follow-up,10/9/2014,Unnamed: 3,
31077,Contacts seen,10/9/2014,Unnamed: 3,
31078,Contacts who completed 21 day follow-up,10/9/2014,Unnamed: 3,
31079,Contacts lost to follow-up,10/9/2014,Unnamed: 3,
31080,New admissions,10/9/2014,Unnamed: 3,
31081,Total no. currently in Treatment Units,10/9/2014,Unnamed: 3,
31082,Total discharges,10/9/2014,Unnamed: 3,
31083,Cumulative admission/isolation,10/9/2014,Unnamed: 3,
31084,Newly Reported Cases in HCW,10/9/2014,Unnamed: 3,
31085,Cumulative cases among HCW,10/9/2014,Unnamed: 3,
31086,Newly Reported deaths in HCW,10/9/2014,Unnamed: 3,
31087,Cumulative deaths among HCW,10/9/2014,Unnamed: 3,
31088,New Case/s (Suspected),10/9/2014,Unnamed: 3,
31089,New Case/s (Probable),10/9/2014,Unnamed: 3,
31090,New case/s (confirmed),10/9/2014,Unnamed: 3,
31091,Total suspected cases,10/9/2014,Unnamed: 3,
31092,Total probable cases,10/9/2014,Unnamed: 3,
31093,Total confirmed cases,10/9/2014,Unnamed: 3,
31094,Total Number of Confirmed Cases of Sierra Leonean Nationality,10/9/2014,Unnamed: 3,
31095,Total Number of Confirmed Cases of Guinean Nationality,10/9/2014,Unnamed: 3,
31096,Cumulative (confirmed + probable + suspects),10/9/2014,Unnamed: 3,
0,Specimens collected,6/16/2014,Bomi County,
1,Specimens pending for testing,6/16/2014,Bomi County,
2,Total specimens tested,6/16/2014,Bomi County,
3,Newly reported deaths,6/16/2014,Bomi County,
4,Total death/s in confirmed cases,6/16/2014,Bomi County,
5,Total death/s in probable cases,6/16/2014,Bomi County,
6,Total death/s in suspected cases,6/16/2014,Bomi County,
7,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Bomi County,
8,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Bomi County,
9,Newly reported contacts,6/16/2014,Bomi County,
10,Total contacts listed,6/16/2014,Bomi County,
11,Currently under follow-up,6/16/2014,Bomi County,
12,Contacts seen,6/16/2014,Bomi County,
13,Contacts who completed 21 day follow-up,6/16/2014,Bomi County,
14,Contacts lost to follow-up,6/16/2014,Bomi County,
15,New admissions,6/16/2014,Bomi County,
16,Total no. currently in Treatment Units,6/16/2014,Bomi County,
17,Total discharges,6/16/2014,Bomi County,
18,Cumulative admission/isolation,6/16/2014,Bomi County,
19,Newly Reported Cases in HCW,6/16/2014,Bomi County,
20,Cumulative cases among HCW,6/16/2014,Bomi County,
21,Newly Reported deaths in HCW,6/16/2014,Bomi County,
22,Cumulative deaths among HCW,6/16/2014,Bomi County,
23,New Case/s (Suspected),6/16/2014,Bomi County,
24,New Case/s (Probable),6/16/2014,Bomi County,
25,New case/s (confirmed),6/16/2014,Bomi County,
26,Total suspected cases,6/16/2014,Bomi County,
27,Total probable cases,6/16/2014,Bomi County,
28,Total confirmed cases,6/16/2014,Bomi County,
29,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Bomi County,
30,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Bomi County,
1833,Specimens collected,6/16/2014,Bong County,
1834,Specimens pending for testing,6/16/2014,Bong County,
1835,Total specimens tested,6/16/2014,Bong County,
1836,Newly reported deaths,6/16/2014,Bong County,
1837,Total death/s in confirmed cases,6/16/2014,Bong County,
1838,Total death/s in probable cases,6/16/2014,Bong County,
1839,Total death/s in suspected cases,6/16/2014,Bong County,
1840,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Bong County,
1841,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Bong County,
1842,Newly reported contacts,6/16/2014,Bong County,
1843,Total contacts listed,6/16/2014,Bong County,
1844,Currently under follow-up,6/16/2014,Bong County,
1845,Contacts seen,6/16/2014,Bong County,
1846,Contacts who completed 21 day follow-up,6/16/2014,Bong County,
1847,Contacts lost to follow-up,6/16/2014,Bong County,
1848,New admissions,6/16/2014,Bong County,
1849,Total no. currently in Treatment Units,6/16/2014,Bong County,
1850,Total discharges,6/16/2014,Bong County,
1851,Cumulative admission/isolation,6/16/2014,Bong County,
1852,Newly Reported Cases in HCW,6/16/2014,Bong County,
1853,Cumulative cases among HCW,6/16/2014,Bong County,
1854,Newly Reported deaths in HCW,6/16/2014,Bong County,
1855,Cumulative deaths among HCW,6/16/2014,Bong County,
1856,New Case/s (Suspected),6/16/2014,Bong County,
1857,New Case/s (Probable),6/16/2014,Bong County,
1858,New case/s (confirmed),6/16/2014,Bong County,
1859,Total suspected cases,6/16/2014,Bong County,
1860,Total probable cases,6/16/2014,Bong County,
1861,Total confirmed cases,6/16/2014,Bong County,
1862,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Bong County,
1863,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Bong County,
3666,Specimens collected,6/16/2014,Gbarpolu County,
3667,Specimens pending for testing,6/16/2014,Gbarpolu County,
3668,Total specimens tested,6/16/2014,Gbarpolu County,
3669,Newly reported deaths,6/16/2014,Gbarpolu County,
3670,Total death/s in confirmed cases,6/16/2014,Gbarpolu County,
3671,Total death/s in probable cases,6/16/2014,Gbarpolu County,
3672,Total death/s in suspected cases,6/16/2014,Gbarpolu County,
3673,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Gbarpolu County,
3674,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Gbarpolu County,
3675,Newly reported contacts,6/16/2014,Gbarpolu County,
3676,Total contacts listed,6/16/2014,Gbarpolu County,
3677,Currently under follow-up,6/16/2014,Gbarpolu County,
3678,Contacts seen,6/16/2014,Gbarpolu County,
3679,Contacts who completed 21 day follow-up,6/16/2014,Gbarpolu County,
3680,Contacts lost to follow-up,6/16/2014,Gbarpolu County,
3681,New admissions,6/16/2014,Gbarpolu County,
3682,Total no. currently in Treatment Units,6/16/2014,Gbarpolu County,
3683,Total discharges,6/16/2014,Gbarpolu County,
3684,Cumulative admission/isolation,6/16/2014,Gbarpolu County,
3685,Newly Reported Cases in HCW,6/16/2014,Gbarpolu County,
3686,Cumulative cases among HCW,6/16/2014,Gbarpolu County,
3687,Newly Reported deaths in HCW,6/16/2014,Gbarpolu County,
3688,Cumulative deaths among HCW,6/16/2014,Gbarpolu County,
3689,New Case/s (Suspected),6/16/2014,Gbarpolu County,
3690,New Case/s (Probable),6/16/2014,Gbarpolu County,
3691,New case/s (confirmed),6/16/2014,Gbarpolu County,
3692,Total suspected cases,6/16/2014,Gbarpolu County,
3693,Total probable cases,6/16/2014,Gbarpolu County,
3694,Total confirmed cases,6/16/2014,Gbarpolu County,
3695,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Gbarpolu County,
3696,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Gbarpolu County,
5499,Specimens collected,6/16/2014,Grand Bassa,
5500,Specimens pending for testing,6/16/2014,Grand Bassa,
5501,Total specimens tested,6/16/2014,Grand Bassa,
5502,Newly reported deaths,6/16/2014,Grand Bassa,
5503,Total death/s in confirmed cases,6/16/2014,Grand Bassa,
5504,Total death/s in probable cases,6/16/2014,Grand Bassa,
5505,Total death/s in suspected cases,6/16/2014,Grand Bassa,
5506,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Grand Bassa,
5507,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Grand Bassa,
5508,Newly reported contacts,6/16/2014,Grand Bassa,
5509,Total contacts listed,6/16/2014,Grand Bassa,
5510,Currently under follow-up,6/16/2014,Grand Bassa,
5511,Contacts seen,6/16/2014,Grand Bassa,
5512,Contacts who completed 21 day follow-up,6/16/2014,Grand Bassa,
5513,Contacts lost to follow-up,6/16/2014,Grand Bassa,
5514,New admissions,6/16/2014,Grand Bassa,
5515,Total no. currently in Treatment Units,6/16/2014,Grand Bassa,
5516,Total discharges,6/16/2014,Grand Bassa,
5517,Cumulative admission/isolation,6/16/2014,Grand Bassa,
5518,Newly Reported Cases in HCW,6/16/2014,Grand Bassa,
5519,Cumulative cases among HCW,6/16/2014,Grand Bassa,
5520,Newly Reported deaths in HCW,6/16/2014,Grand Bassa,
5521,Cumulative deaths among HCW,6/16/2014,Grand Bassa,
5522,New Case/s (Suspected),6/16/2014,Grand Bassa,
5523,New Case/s (Probable),6/16/2014,Grand Bassa,
5524,New case/s (confirmed),6/16/2014,Grand Bassa,
5525,Total suspected cases,6/16/2014,Grand Bassa,
5526,Total probable cases,6/16/2014,Grand Bassa,
5527,Total confirmed cases,6/16/2014,Grand Bassa,
5528,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Grand Bassa,
5529,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Grand Bassa,
7332,Specimens collected,6/16/2014,Grand Cape Mount,
7333,Specimens pending for testing,6/16/2014,Grand Cape Mount,
7334,Total specimens tested,6/16/2014,Grand Cape Mount,
7335,Newly reported deaths,6/16/2014,Grand Cape Mount,
7336,Total death/s in confirmed cases,6/16/2014,Grand Cape Mount,
7337,Total death/s in probable cases,6/16/2014,Grand Cape Mount,
7338,Total death/s in suspected cases,6/16/2014,Grand Cape Mount,
7339,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Grand Cape Mount,
7340,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Grand Cape Mount,
7341,Newly reported contacts,6/16/2014,Grand Cape Mount,
7342,Total contacts listed,6/16/2014,Grand Cape Mount,
7343,Currently under follow-up,6/16/2014,Grand Cape Mount,
7344,Contacts seen,6/16/2014,Grand Cape Mount,
7345,Contacts who completed 21 day follow-up,6/16/2014,Grand Cape Mount,
7346,Contacts lost to follow-up,6/16/2014,Grand Cape Mount,
7347,New admissions,6/16/2014,Grand Cape Mount,
7348,Total no. currently in Treatment Units,6/16/2014,Grand Cape Mount,
7349,Total discharges,6/16/2014,Grand Cape Mount,
7350,Cumulative admission/isolation,6/16/2014,Grand Cape Mount,
7351,Newly Reported Cases in HCW,6/16/2014,Grand Cape Mount,
7352,Cumulative cases among HCW,6/16/2014,Grand Cape Mount,
7353,Newly Reported deaths in HCW,6/16/2014,Grand Cape Mount,
7354,Cumulative deaths among HCW,6/16/2014,Grand Cape Mount,
7355,New Case/s (Suspected),6/16/2014,Grand Cape Mount,
7356,New Case/s (Probable),6/16/2014,Grand Cape Mount,
7357,New case/s (confirmed),6/16/2014,Grand Cape Mount,
7358,Total suspected cases,6/16/2014,Grand Cape Mount,
7359,Total probable cases,6/16/2014,Grand Cape Mount,
7360,Total confirmed cases,6/16/2014,Grand Cape Mount,
7361,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Grand Cape Mount,
7362,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Grand Cape Mount,
9165,Specimens collected,6/16/2014,Grand Gedeh,
9166,Specimens pending for testing,6/16/2014,Grand Gedeh,
9167,Total specimens tested,6/16/2014,Grand Gedeh,
9168,Newly reported deaths,6/16/2014,Grand Gedeh,
9169,Total death/s in confirmed cases,6/16/2014,Grand Gedeh,
9170,Total death/s in probable cases,6/16/2014,Grand Gedeh,
9171,Total death/s in suspected cases,6/16/2014,Grand Gedeh,
9172,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Grand Gedeh,
9173,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Grand Gedeh,
9174,Newly reported contacts,6/16/2014,Grand Gedeh,
9175,Total contacts listed,6/16/2014,Grand Gedeh,
9176,Currently under follow-up,6/16/2014,Grand Gedeh,
9177,Contacts seen,6/16/2014,Grand Gedeh,
9178,Contacts who completed 21 day follow-up,6/16/2014,Grand Gedeh,
9179,Contacts lost to follow-up,6/16/2014,Grand Gedeh,
9180,New admissions,6/16/2014,Grand Gedeh,
9181,Total no. currently in Treatment Units,6/16/2014,Grand Gedeh,
9182,Total discharges,6/16/2014,Grand Gedeh,
9183,Cumulative admission/isolation,6/16/2014,Grand Gedeh,
9184,Newly Reported Cases in HCW,6/16/2014,Grand Gedeh,
9185,Cumulative cases among HCW,6/16/2014,Grand Gedeh,
9186,Newly Reported deaths in HCW,6/16/2014,Grand Gedeh,
9187,Cumulative deaths among HCW,6/16/2014,Grand Gedeh,
9188,New Case/s (Suspected),6/16/2014,Grand Gedeh,
9189,New Case/s (Probable),6/16/2014,Grand Gedeh,
9190,New case/s (confirmed),6/16/2014,Grand Gedeh,
9191,Total suspected cases,6/16/2014,Grand Gedeh,
9192,Total probable cases,6/16/2014,Grand Gedeh,
9193,Total confirmed cases,6/16/2014,Grand Gedeh,
9194,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Grand Gedeh,
9195,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Grand Gedeh,
10998,Specimens collected,6/16/2014,Grand Kru,
10999,Specimens pending for testing,6/16/2014,Grand Kru,
11000,Total specimens tested,6/16/2014,Grand Kru,
11001,Newly reported deaths,6/16/2014,Grand Kru,
11002,Total death/s in confirmed cases,6/16/2014,Grand Kru,
11003,Total death/s in probable cases,6/16/2014,Grand Kru,
11004,Total death/s in suspected cases,6/16/2014,Grand Kru,
11005,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Grand Kru,
11006,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Grand Kru,
11007,Newly reported contacts,6/16/2014,Grand Kru,
11008,Total contacts listed,6/16/2014,Grand Kru,
11009,Currently under follow-up,6/16/2014,Grand Kru,
11010,Contacts seen,6/16/2014,Grand Kru,
11011,Contacts who completed 21 day follow-up,6/16/2014,Grand Kru,
11012,Contacts lost to follow-up,6/16/2014,Grand Kru,
11013,New admissions,6/16/2014,Grand Kru,
11014,Total no. currently in Treatment Units,6/16/2014,Grand Kru,
11015,Total discharges,6/16/2014,Grand Kru,
11016,Cumulative admission/isolation,6/16/2014,Grand Kru,
11017,Newly Reported Cases in HCW,6/16/2014,Grand Kru,
11018,Cumulative cases among HCW,6/16/2014,Grand Kru,
11019,Newly Reported deaths in HCW,6/16/2014,Grand Kru,
11020,Cumulative deaths among HCW,6/16/2014,Grand Kru,
11021,New Case/s (Suspected),6/16/2014,Grand Kru,
11022,New Case/s (Probable),6/16/2014,Grand Kru,
11023,New case/s (confirmed),6/16/2014,Grand Kru,
11024,Total suspected cases,6/16/2014,Grand Kru,
11025,Total probable cases,6/16/2014,Grand Kru,
11026,Total confirmed cases,6/16/2014,Grand Kru,
11027,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Grand Kru,
11028,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Grand Kru,
12831,Specimens collected,6/16/2014,Lofa County,1.0
12832,Specimens pending for testing,6/16/2014,Lofa County,0.0
12833,Total specimens tested,6/16/2014,Lofa County,21.0
12834,Newly reported deaths,6/16/2014,Lofa County,1.0
12835,Total death/s in confirmed cases,6/16/2014,Lofa County,4.0
12836,Total death/s in probable cases,6/16/2014,Lofa County,2.0
12837,Total death/s in suspected cases,6/16/2014,Lofa County,2.0
12838,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Lofa County,8.0
12839,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Lofa County,
12840,Newly reported contacts,6/16/2014,Lofa County,41.0
12841,Total contacts listed,6/16/2014,Lofa County,95.0
12842,Currently under follow-up,6/16/2014,Lofa County,95.0
12843,Contacts seen,6/16/2014,Lofa County,95.0
12844,Contacts who completed 21 day follow-up,6/16/2014,Lofa County,11.0
12845,Contacts lost to follow-up,6/16/2014,Lofa County,0.0
12846,New admissions,6/16/2014,Lofa County,1.0
12847,Total no. currently in Treatment Units,6/16/2014,Lofa County,5.0
12848,Total discharges,6/16/2014,Lofa County,3.0
12849,Cumulative admission/isolation,6/16/2014,Lofa County,5.0
12850,Newly Reported Cases in HCW,6/16/2014,Lofa County,
12851,Cumulative cases among HCW,6/16/2014,Lofa County,0.0
12852,Newly Reported deaths in HCW,6/16/2014,Lofa County,0.0
12853,Cumulative deaths among HCW,6/16/2014,Lofa County,0.0
12854,New Case/s (Suspected),6/16/2014,Lofa County,2.0
12855,New Case/s (Probable),6/16/2014,Lofa County,0.0
12856,New case/s (confirmed),6/16/2014,Lofa County,1.0
12857,Total suspected cases,6/16/2014,Lofa County,4.0
12858,Total probable cases,6/16/2014,Lofa County,2.0
12859,Total confirmed cases,6/16/2014,Lofa County,8.0
12860,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Lofa County,1.0
12861,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Lofa County,
14664,Specimens collected,6/16/2014,Margibi County,
14665,Specimens pending for testing,6/16/2014,Margibi County,
14666,Total specimens tested,6/16/2014,Margibi County,
14667,Newly reported deaths,6/16/2014,Margibi County,
14668,Total death/s in confirmed cases,6/16/2014,Margibi County,
14669,Total death/s in probable cases,6/16/2014,Margibi County,
14670,Total death/s in suspected cases,6/16/2014,Margibi County,
14671,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Margibi County,
14672,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Margibi County,
14673,Newly reported contacts,6/16/2014,Margibi County,
14674,Total contacts listed,6/16/2014,Margibi County,
14675,Currently under follow-up,6/16/2014,Margibi County,
14676,Contacts seen,6/16/2014,Margibi County,
14677,Contacts who completed 21 day follow-up,6/16/2014,Margibi County,
14678,Contacts lost to follow-up,6/16/2014,Margibi County,
14679,New admissions,6/16/2014,Margibi County,
14680,Total no. currently in Treatment Units,6/16/2014,Margibi County,
14681,Total discharges,6/16/2014,Margibi County,
14682,Cumulative admission/isolation,6/16/2014,Margibi County,
14683,Newly Reported Cases in HCW,6/16/2014,Margibi County,
14684,Cumulative cases among HCW,6/16/2014,Margibi County,
14685,Newly Reported deaths in HCW,6/16/2014,Margibi County,
14686,Cumulative deaths among HCW,6/16/2014,Margibi County,
14687,New Case/s (Suspected),6/16/2014,Margibi County,
14688,New Case/s (Probable),6/16/2014,Margibi County,
14689,New case/s (confirmed),6/16/2014,Margibi County,
14690,Total suspected cases,6/16/2014,Margibi County,
14691,Total probable cases,6/16/2014,Margibi County,
14692,Total confirmed cases,6/16/2014,Margibi County,
14693,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Margibi County,
14694,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Margibi County,
16497,Specimens collected,6/16/2014,Maryland County,
16498,Specimens pending for testing,6/16/2014,Maryland County,
16499,Total specimens tested,6/16/2014,Maryland County,
16500,Newly reported deaths,6/16/2014,Maryland County,
16501,Total death/s in confirmed cases,6/16/2014,Maryland County,
16502,Total death/s in probable cases,6/16/2014,Maryland County,
16503,Total death/s in suspected cases,6/16/2014,Maryland County,
16504,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Maryland County,
16505,Case Fatality Rate (CFR) - Confirmed & Probable Cases,6/16/2014,Maryland County,
16506,Newly reported contacts,6/16/2014,Maryland County,
16507,Total contacts listed,6/16/2014,Maryland County,
16508,Currently under follow-up,6/16/2014,Maryland County,
16509,Contacts seen,6/16/2014,Maryland County,
16510,Contacts who completed 21 day follow-up,6/16/2014,Maryland County,
16511,Contacts lost to follow-up,6/16/2014,Maryland County,
16512,New admissions,6/16/2014,Maryland County,
16513,Total no. currently in Treatment Units,6/16/2014,Maryland County,
16514,Total discharges,6/16/2014,Maryland County,
16515,Cumulative admission/isolation,6/16/2014,Maryland County,
16516,Newly Reported Cases in HCW,6/16/2014,Maryland County,
16517,Cumulative cases among HCW,6/16/2014,Maryland County,
16518,Newly Reported deaths in HCW,6/16/2014,Maryland County,
16519,Cumulative deaths among HCW,6/16/2014,Maryland County,
16520,New Case/s (Suspected),6/16/2014,Maryland County,
16521,New Case/s (Probable),6/16/2014,Maryland County,
16522,New case/s (confirmed),6/16/2014,Maryland County,
16523,Total suspected cases,6/16/2014,Maryland County,
16524,Total probable cases,6/16/2014,Maryland County,
16525,Total confirmed cases,6/16/2014,Maryland County,
16526,Total Number of Confirmed Cases of Sierra Leonean Nationality,6/16/2014,Maryland County,
16527,Total Number of Confirmed Cases of Guinean Nationality,6/16/2014,Maryland County,
18330,Specimens collected,6/16/2014,Montserrado County,0.0
18331,Specimens pending for testing,6/16/2014,Montserrado County,0.0
18332,Total specimens tested,6/16/2014,Montserrado County,7.0
18333,Newly reported deaths,6/16/2014,Montserrado County,0.0
18334,Total death/s in confirmed cases,6/16/2014,Montserrado County,0.0
18335,Total death/s in probable cases,6/16/2014,Montserrado County,0.0
18336,Total death/s in suspected cases,6/16/2014,Montserrado County,0.0
18337,"Total death/s in confirmed, probable, suspected cases",6/16/2014,Montserrado County,0.0
