Variable,Date,Bomi County,,Grand Gedeh,Grand Bassa,Bong County,Grand Kru,Montserrado County,Gbarpolu County,National,Nimba County,Sinoe County,River Gee County,Lofa County,Maryland County,Grand Cape Mount,RiverCess County,Margibi County
Total death/s in suspected cases,7/7/2014,0,,,,0,0,5,,15,0,0,0,10,0,,0,0
"Total death/s in confirmed, probable, suspected cases",7/7/2014,0,,,,0,0,35,,78,0,0,0,41,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/7/2014,0,,,,0,0,88.2,,68.5,0,0,0,56.4,0,,0,66.7
Newly reported contacts,7/7/2014,0,,,,0,0,5,,42,0,0,0,37,0,,0,0
Total contacts listed,7/7/2014,0,,,,0,0,178,,458,0,0,0,252,0,,0,28
Currently under follow-up,7/7/2014,0,,,,0,0,158,,431,0,0,0,245,0,,0,28
Contacts seen,7/7/2014,0,,,,0,0,158,,403,0,0,0,245,0,,0,0
Contacts who completed 21 day follow-up,7/7/2014,0,,,,0,0,8,,15,0,0,0,7,0,,0,0
Contacts lost to follow-up,7/7/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New admissions,7/7/2014,0,,,,0,0,1,,3,0,0,0,2,0,,0,0
Total no. currently in Treatment Units,7/7/2014,0,,,,0,0,5,,14,0,0,0,9,0,,0,0
Total discharges,7/7/2014,0,,,,0,0,0,,3,0,0,0,3,0,,0,0
Cumulative admission/isolation,7/7/2014,0,,,,0,0,5,,14,0,0,0,9,0,,0,0
Newly Reported Cases in HCW,7/7/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative cases among HCW,7/7/2014,0,,,,0,0,5,,10,0,0,0,5,0,,0,0
Newly Reported deaths in HCW,7/7/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative deaths among HCW,7/7/2014,0,,,,0,0,6,,9,0,0,0,3,0,,0,0
New Case/s (Suspected),7/7/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New Case/s (Probable),7/7/2014,0,,,,0,0,0,,2,0,0,0,2,0,,0,0
New case/s (confirmed),7/7/2014,0,,,,0,0,1,,5,0,0,0,4,0,,0,0
Total suspected cases,7/7/2014,0,,,,0,0,7,,38,0,0,0,31,0,,0,0
Total probable cases,7/7/2014,0,,,,0,0,12,,30,0,0,0,16,0,,0,2
Total confirmed cases,7/7/2014,0,,,,0,0,22,,62,0,0,0,39,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/7/2014,0,,,,0,0,0,,4,0,0,0,4,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,7/7/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/8/2014,0,,,,0,0,2,,2,0,0,0,0,0,,0,0
Specimens pending for testing,7/8/2014,0,,,,0,0,2,,5,0,0,0,3,0,,0,0
Total specimens tested,7/8/2014,0,,,,0,0,3,,3,0,0,0,0,0,,0,0
Newly reported deaths,7/8/2014,0,,,,0,0,1,,2,0,0,0,1,0,,0,0
Total death/s in confirmed cases,7/8/2014,0,,,,0,0,15,,38,0,0,0,21,0,,0,2
Total death/s in probable cases,7/8/2014,0,,,,0,0,15,,26,0,0,0,11,0,,0,0
Total death/s in suspected cases,7/8/2014,0,,,,0,0,6,,16,0,0,0,10,0,,0,0
"Total death/s in confirmed, probable, suspected cases",7/8/2014,0,,,,0,0,36,,80,0,0,0,42,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/8/2014,0,,,,0,0,88.2,,69.6,0,0,0,58.2,0,,0,66.7
Newly reported contacts,7/8/2014,0,,,,0,0,5,,55,0,0,0,50,0,,0,0
Total contacts listed,7/8/2014,0,,,,0,0,166,,420,0,0,0,226,0,,0,28
Currently under follow-up,7/8/2014,0,,,,0,0,166,,364,0,0,0,170,0,,0,28
Contacts seen,7/8/2014,0,,,,0,0,166,,342,0,0,0,176,0,,0,0
Contacts who completed 21 day follow-up,7/8/2014,0,,,,0,0,0,,6,0,0,0,6,0,,0,0
Contacts lost to follow-up,7/8/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New admissions,7/8/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
Total no. currently in Treatment Units,7/8/2014,0,,,,0,0,6,,14,0,0,0,8,0,,0,0
Total discharges,7/8/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative admission/isolation,7/8/2014,0,,,,0,0,6,,14,0,0,0,8,0,,0,0
Newly Reported Cases in HCW,7/8/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative cases among HCW,7/8/2014,0,,,,0,0,5,,10,0,0,0,5,0,,0,0
Newly Reported deaths in HCW,7/8/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative deaths among HCW,7/8/2014,0,,,,0,0,6,,9,0,0,0,3,0,,0,0
New Case/s (Suspected),7/8/2014,0,,,,0,0,3,,3,0,0,0,0,0,,0,0
New Case/s (Probable),7/8/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New case/s (confirmed),7/8/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total suspected cases,7/8/2014,0,,,,0,0,10,,41,0,0,0,31,0,,0,0
Total probable cases,7/8/2014,0,,,,0,0,12,,30,0,0,0,16,0,,0,2
Total confirmed cases,7/8/2014,0,,,,0,0,22,,62,0,0,0,39,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/8/2014,0,,,,0,0,0,,4,0,0,0,4,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,7/8/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/10/2014,0,,,,0,0,4,,6,0,0,0,2,0,,0,0
Specimens pending for testing,7/10/2014,0,,,,0,0,1,,3,0,0,0,2,0,,0,0
Total specimens tested,7/10/2014,0,,,,0,0,4,,9,0,0,0,5,0,,0,0
Newly reported deaths,7/10/2014,0,,,,0,0,1,,4,0,0,0,3,0,,0,0
Total death/s in confirmed cases,7/10/2014,1,,,,0,0,14,,40,0,0,0,23,0,,0,2
Total death/s in probable cases,7/10/2014,0,,,,0,0,15,,28,0,0,0,13,0,,0,0
Total death/s in suspected cases,7/10/2014,0,,,,0,0,7,,17,0,0,0,10,0,,0,0
"Total death/s in confirmed, probable, suspected cases",7/10/2014,1,,,,0,0,36,,85,0,0,0,46,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/10/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,7/10/2014,0,,,,0,0,36,,43,0,0,0,7,0,,0,0
Total contacts listed,7/10/2014,0,,,,0,0,202,,364,0,0,0,134,0,,0,28
Currently under follow-up,7/10/2014,0,,,,0,0,166,,305,0,0,0,134,0,,0,5
Contacts seen,7/10/2014,0,,,,0,0,166,,256,0,0,0,85,0,,0,5
Contacts who completed 21 day follow-up,7/10/2014,0,,,,0,0,0,,22,0,0,0,22,0,,0,0
Contacts lost to follow-up,7/10/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New admissions,7/10/2014,0,,,,0,0,2,,2,0,0,0,0,0,,0,0
Total no. currently in Treatment Units,7/10/2014,0,,,,0,0,7,,10,0,0,0,3,0,,0,0
Total discharges,7/10/2014,0,,,,0,0,0,,3,0,0,0,3,0,,0,0
Cumulative admission/isolation,7/10/2014,0,,,,0,0,7,,10,0,0,0,3,0,,0,0
Newly Reported Cases in HCW,7/10/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative cases among HCW,7/10/2014,0,,,,0,0,5,,10,0,0,0,5,0,,0,0
Newly Reported deaths in HCW,7/10/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative deaths among HCW,7/10/2014,0,,,,0,0,5,,9,0,0,0,4,0,,0,0
New Case/s (Suspected),7/10/2014,0,,,,0,0,2,,2,0,0,0,0,0,,0,0
New Case/s (Probable),7/10/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
New case/s (confirmed),7/10/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total suspected cases,7/10/2014,0,,,,0,0,10,,42,0,0,0,32,0,,0,0
Total probable cases,7/10/2014,0,,,,0,0,13,,31,0,0,0,16,0,,0,2
Total confirmed cases,7/10/2014,1,,,,0,0,23,,64,0,0,0,39,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/10/2014,0,,,,0,0,0,,4,0,0,0,4,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,7/10/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/13/2014,,,,,,,,,,,,,,,,,
Specimens pending for testing,7/13/2014,,,,,,,,,,,,,,,,,
Total specimens tested,7/13/2014,,,,,,,,,,,,,,,,,
Newly reported deaths,7/13/2014,0,,,,0,0,3,,3,0,0,0,0,0,,0,0
Total death/s in confirmed cases,7/13/2014,1,,,,0,0,16,,42,0,0,0,23,0,,0,2
Total death/s in probable cases,7/13/2014,0,,,,0,0,17,,31,0,0,0,14,0,,0,0
Total death/s in suspected cases,7/13/2014,0,,,,0,0,9,,21,0,0,0,12,0,,0,0
"Total death/s in confirmed, probable, suspected cases",7/13/2014,1,,,,0,0,42,,94,0,0,0,49,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/13/2014,,,,,0,0,82.5,,70.9,0,0,0,62.7,0,,0,66.7
Newly reported contacts,7/13/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total contacts listed,7/13/2014,0,,,,0,0,215,,398,0,0,0,155,0,,0,28
Currently under follow-up,7/13/2014,0,,,,0,0,215,,363,0,0,0,143,0,,0,5
Contacts seen,7/13/2014,0,,,,0,0,209,,364,0,0,0,150,0,,0,5
Contacts who completed 21 day follow-up,7/13/2014,0,,,,0,0,0,,12,0,0,0,12,0,,0,0
Contacts lost to follow-up,7/13/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New admissions,7/13/2014,0,,,,0,0,1,,4,0,0,0,3,0,,0,0
Total no. currently in Treatment Units,7/13/2014,0,,,,0,0,5,,20,0,0,0,15,0,,0,0
Total discharges,7/13/2014,0,,,,0,0,2,,2,0,0,0,0,0,,0,0
Cumulative admission/isolation,7/13/2014,0,,,,0,0,5,,20,0,0,0,15,0,,0,0
Newly Reported Cases in HCW,7/13/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative cases among HCW,7/13/2014,0,,,,0,0,6,,11,0,0,0,5,0,,0,0
Newly Reported deaths in HCW,7/13/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative deaths among HCW,7/13/2014,0,,,,0,0,5,,9,0,0,0,4,0,,0,0
New Case/s (Suspected),7/13/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New Case/s (Probable),7/13/2014,0,,,,0,0,2,,5,0,0,0,3,0,,0,0
New case/s (confirmed),7/13/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total suspected cases,7/13/2014,0,,,,0,0,15,,61,1,0,0,45,0,,0,0
Total probable cases,7/13/2014,0,,,,0,0,17,,39,0,0,0,20,0,,0,2
Total confirmed cases,7/13/2014,1,,,,0,0,23,,64,0,0,0,39,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/13/2014,0,,,,0,0,0,,4,0,0,0,4,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,7/13/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/17/2014,0,,,,0,0,1,,7,0,0,0,6,0,,0,0
Specimens pending for testing,7/17/2014,0,,,,0,0,1,,7,0,0,0,6,0,,0,0
Total specimens tested,7/17/2014,0,,,,0,0,6,,10,0,0,0,4,0,,0,0
Newly reported deaths,7/17/2014,0,,,,0,0,3,,3,0,0,0,0,0,,0,0
Total death/s in confirmed cases,7/17/2014,1,,,,0,0,19,,48,0,0,0,26,0,,0,2
Total death/s in probable cases,7/17/2014,1,,,,0,0,22,,38,0,0,0,15,0,,0,0
Total death/s in suspected cases,7/17/2014,0,,,,0,0,10,,22,0,0,0,12,0,,0,0
"Total death/s in confirmed, probable, suspected cases",7/17/2014,2,,,,0,0,51,,108,0,0,0,53,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/17/2014,100,,,,0,0,87.2,,69.4,0,0,0,61.2,0,,0,66.7
Newly reported contacts,7/17/2014,,,,,,,,,,,,,,,,,
Total contacts listed,7/17/2014,,,,,,,,,,,,,,,,,
Currently under follow-up,7/17/2014,,,,,,,,,,,,,,,,,
Contacts seen,7/17/2014,,,,,,,,,,,,,,,,,
Contacts who completed 21 day follow-up,7/17/2014,,,,,,,,,,,,,,,,,
Contacts lost to follow-up,7/17/2014,,,,,,,,,,,,,,,,,
New admissions,7/17/2014,0,,,,0,0,2,,3,0,0,0,1,0,,0,0
Total no. currently in Treatment Units,7/17/2014,0,,,,0,0,9,,24,0,0,0,15,0,,0,0
Total discharges,7/17/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
Cumulative admission/isolation,7/17/2014,0,,,,0,0,9,,24,0,0,0,15,0,,0,0
Newly Reported Cases in HCW,7/17/2014,0,,,,0,0,1,,1,0,0,0,0,0,,0,0
Cumulative cases among HCW,7/17/2014,0,,,,4,0,7,,16,0,0,0,5,0,,0,0
Newly Reported deaths in HCW,7/17/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative deaths among HCW,7/17/2014,0,,,,0,0,5,,9,0,0,0,4,0,,0,0
New Case/s (Suspected),7/17/2014,0,,,,0,0,0,,1,0,0,0,1,0,,0,0
New Case/s (Probable),7/17/2014,0,,,,0,0,5,,9,1,0,0,3,0,,0,0
New case/s (confirmed),7/17/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total suspected cases,7/17/2014,0,,,,0,0,16,,64,2,0,0,46,0,,0,0
Total probable cases,7/17/2014,1,,,,0,0,24,,54,1,0,0,26,0,,0,2
Total confirmed cases,7/17/2014,1,,,,4,0,23,,70,0,0,0,41,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/17/2014,0,,,,0,0,0,,11,0,0,0,11,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,7/17/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/20/2014,0,,,,2,0,1,,7,4,0,0,0,0,,0,0
Specimens pending for testing,7/20/2014,0,,,,0,0,1,,3,0,0,0,2,0,,0,0
Total specimens tested,7/20/2014,0,,,,0,0,10,,10,0,0,0,0,0,,0,0
Newly reported deaths,7/20/2014,0,,,,2,0,2,,4,0,0,0,0,0,,0,0
Total death/s in confirmed cases,7/20/2014,1,,,,0,0,20,,50,0,0,0,27,0,,0,2
Total death/s in probable cases,7/20/2014,1,,,,1,0,25,,42,0,0,0,15,0,,0,0
Total death/s in suspected cases,7/20/2014,0,,,,1,0,10,,24,0,0,0,13,0,,0,0
"Total death/s in confirmed, probable, suspected cases",7/20/2014,2,,,,2,0,55,,116,0,0,0,55,0,,0,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/20/2014,100,,,,11.1,0,84.9,,67.2,0,0,0,61.8,0,,0,66.7
Newly reported contacts,7/20/2014,0,,,,9,0,0,,9,0,0,0,0,0,,0,0
Total contacts listed,7/20/2014,4,,,,30,0,254,,445,0,0,0,129,0,,0,28
Currently under follow-up,7/20/2014,2,,,,28,0,254,,418,0,0,0,129,0,,0,5
Contacts seen,7/20/2014,2,,,,16,0,242,,394,0,0,0,129,0,,0,5
Contacts who completed 21 day follow-up,7/20/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Contacts lost to follow-up,7/20/2014,2,,,,1,0,0,,3,0,0,0,0,0,,0,0
New admissions,7/20/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Total no. currently in Treatment Units,7/20/2014,0,,,,0,0,14,,27,0,0,0,13,0,,0,0
Total discharges,7/20/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative admission/isolation,7/20/2014,0,,,,0,0,14,,27,0,0,0,13,0,,0,0
Newly Reported Cases in HCW,7/20/2014,0,,,,1,0,0,,1,0,0,0,0,0,,0,0
Cumulative cases among HCW,7/20/2014,0,,,,15,0,7,,27,0,0,0,5,0,,0,0
Newly Reported deaths in HCW,7/20/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Cumulative deaths among HCW,7/20/2014,0,,,,0,0,6,,10,0,0,0,4,0,,0,0
New Case/s (Suspected),7/20/2014,0,,,,2,0,0,,2,0,0,0,0,0,,0,0
New Case/s (Probable),7/20/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
New case/s (confirmed),7/20/2014,0,,,,0,0,0,,1,1,0,0,0,0,,0,0
Total suspected cases,7/20/2014,0,,,,10,0,17,,79,2,0,0,50,0,,0,0
Total probable cases,7/20/2014,1,,,,5,0,30,,66,1,0,0,27,0,,0,2
Total confirmed cases,7/20/2014,1,,,,4,0,23,,71,1,0,0,41,0,,0,1
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/20/2014,0,,,,0,0,0,,11,0,0,0,11,0,,0,0
Total Number of Confirmed Cases of Guinean Nationality,7/20/2014,0,,,,0,0,0,,0,0,0,0,0,0,,0,0
Specimens collected,7/24/2014,11,,1,0,6,,0,0,19,0,,,1,0,0,,0
Specimens pending for testing,7/24/2014,11,,1,0,6,,0,0,19,0,,,1,0,0,,0
Total specimens tested,7/24/2014,0,,0,0,0,,9,0,13,0,,,4,0,0,,0
Newly reported deaths,7/24/2014,0,,1,0,0,,4,0,6,0,,,1,0,0,,0
Total death/s in confirmed cases,7/24/2014,1,,0,0,4,,21,0,60,0,,,32,0,0,,2
Total death/s in probable cases,7/24/2014,1,,0,0,2,,36,0,59,0,,,20,0,0,,0
Total death/s in suspected cases,7/24/2014,0,,1,0,1,,1,0,17,0,,,14,0,0,,0
"Total death/s in confirmed, probable, suspected cases",7/24/2014,2,,1,0,7,,58,0,136,0,,,66,0,0,,2
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/24/2014,15.4,,0,0,26.1,,87.7,0,60.4,0,,,58.4,0,0,,50
Newly reported contacts,7/24/2014,0,,0,0,22,,8,0,42,0,,,12,0,0,,0
Total contacts listed,7/24/2014,4,,0,0,51,,284,0,543,0,,,176,0,0,,28
Currently under follow-up,7/24/2014,2,,0,0,51,,284,0,518,0,,,176,0,0,,5
Contacts seen,7/24/2014,0,,0,0,26,,276,0,415,0,,,113,0,0,,0
Contacts who completed 21 day follow-up,7/24/2014,0,,0,0,0,,0,0,0,0,,,0,0,0,,0
Contacts lost to follow-up,7/24/2014,2,,0,0,0,,0,0,2,0,,,0,0,0,,0
New admissions,7/24/2014,0,,0,0,0,,7,0,8,0,,,1,0,0,,0
Total no. currently in Treatment Units,7/24/2014,0,,0,0,0,,16,0,29,0,,,13,0,0,,0
Total discharges,7/24/2014,0,,0,0,0,,0,0,2,0,,,2,0,0,,0
Cumulative admission/isolation,7/24/2014,0,,0,0,0,,16,0,29,0,,,13,0,0,,0
Newly Reported Cases in HCW,7/24/2014,0,,0,0,4,,1,0,5,,,,0,0,0,,0
Cumulative cases among HCW,7/24/2014,0,,0,0,20,,8,0,37,,,,9,0,0,,0
Newly Reported deaths in HCW,7/24/2014,0,,0,0,0,,0,0,1,,,,1,0,0,,0
Cumulative deaths among HCW,7/24/2014,0,,0,0,3,,7,0,15,,,,5,0,0,,0
New Case/s (Suspected),7/24/2014,0,,1,0,2,,7,0,11,0,,,1,0,0,,0
New Case/s (Probable),7/24/2014,11,,0,0,4,,0,0,16,0,,,1,0,0,,0
New case/s (confirmed),7/24/2014,0,,0,0,0,,2,0,5,0,,,3,0,0,,0
Total suspected cases,7/24/2014,0,,1,0,12,,24,0,91,1,,,53,0,0,,0
Total probable cases,7/24/2014,12,,0,0,13,,38,0,111,1,,,45,0,0,,2
Total confirmed cases,7/24/2014,1,,0,0,10,,27,0,86,2,,,44,0,0,,2
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/24/2014,0,,0,0,0,,0,0,11,0,,,11,0,0,,0
Total Number of Confirmed Cases of Guinean Nationality,7/24/2014,0,,0,0,0,,0,0,0,0,,,0,0,0,,0
Specimens collected,7/26/2014,0,,0,0,0,,0,0,4,0,,,3,0,0,,1
Specimens pending for testing,7/26/2014,11,,1,0,6,,0,0,23,0,,,4,0,0,,1
Total specimens tested,7/26/2014,0,,0,0,0,,9,0,9,0,,,0,0,0,,0
Newly reported deaths,7/26/2014,0,,0,0,1,,4,0,9,0,,,2,0,0,,2
Total death/s in confirmed cases,7/26/2014,1,,0,0,4,,25,0,66,0,,,34,0,0,,2
Total death/s in probable cases,7/26/2014,1,,0,0,3,,36,0,60,0,,,20,0,0,,0
Total death/s in suspected cases,7/26/2014,0,,1,0,1,,1,0,19,0,,,14,0,0,,2
"Total death/s in confirmed, probable, suspected cases",7/26/2014,2,,1,0,8,,62,0,145,0,,,68,0,0,,4
Case Fatality Rate (CFR) - Confirmed & Probable Cases,7/26/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,7/26/2014,0,,0,0,0,,0,0,4,0,,,4,0,0,,0
Total contacts listed,7/26/2014,4,,0,0,51,,284,0,547,0,,,180,0,0,,28
Currently under follow-up,7/26/2014,2,,0,0,51,,284,0,518,0,,,176,0,0,,5
Contacts seen,7/26/2014,0,,0,0,26,,276,0,414,0,,,112,0,0,,0
Contacts who completed 21 day follow-up,7/26/2014,0,,0,0,0,,0,0,4,0,,,4,0,0,,0
Contacts lost to follow-up,7/26/2014,2,,0,0,0,,0,0,2,0,,,0,0,0,,0
New admissions,7/26/2014,0,,0,0,0,,9,0,9,0,,,0,0,0,,0
Total no. currently in Treatment Units,7/26/2014,0,,0,0,0,,22,0,31,0,,,9,0,0,,0
Total discharges,7/26/2014,0,,0,0,0,,4,0,8,0,,,4,0,0,,0
Cumulative admission/isolation,7/26/2014,0,,0,0,0,,22,0,31,0,,,9,0,0,,0
Newly Reported Cases in HCW,7/26/2014,0,,0,0,0,,0,0,0,0,,,0,0,0,,0
Cumulative cases among HCW,7/26/2014,0,,0,0,20,,8,0,37,0,,,9,0,0,,0
Newly Reported deaths in HCW,7/26/2014,0,,0,0,0,,3,0,3,0,,,0,0,0,,0
Cumulative deaths among HCW,7/26/2014,0,,0,0,3,,13,,21,0,,,0,0,0,,0
New Case/s (Suspected),7/26/2014,0,,0,0,4,,3,0,10,0,,,1,0,0,,2
New Case/s (Probable),7/26/2014,0,,0,0,0,,0,0,3,0,,,3,0,0,,0
New case/s (confirmed),7/26/2014,6,,0,0,0,,0,0,6,0,,,0,0,0,,0
Total suspected cases,7/26/2014,0,,1,0,16,,27,0,101,1,,,54,0,0,,2
Total probable cases,7/26/2014,12,,0,0,13,,38,0,114,1,,,48,0,0,,2
Total confirmed cases,7/26/2014,7,,0,0,10,,27,0,92,2,,,44,0,0,,2
Total Number of Confirmed Cases of Sierra Leonean Nationality,7/26/2014,0,,0,0,0,,0,0,11,0,,,11,0,0,,0
Total Number of Confirmed Cases of Guinean Nationality,7/26/2014,0,,0,0,0,,0,0,0,0,,,0,0,0,,0
Specimens collected,8/2/2014,,,,,,,7,,11,4,,,,,,,
Specimens pending for testing,8/2/2014,4,,,1,9,,1,,20,4,,,,,,,1
Total specimens tested,8/2/2014,,,,,,,7,,18,,,,11,,,,
Newly reported deaths,8/2/2014,0,,,0,0,,6,,13,1,,,6,,0,0,0
Total death/s in confirmed cases,8/2/2014,6,,,0,4,,48,,118,2,,,55,,1,0,2
Total death/s in probable cases,8/2/2014,2,,,1,6,,48,,99,3,,,37,,1,1,0
Total death/s in suspected cases,8/2/2014,0,,,,1,,21,,40,0,,,15,,0,0,3
"Total death/s in confirmed, probable, suspected cases",8/2/2014,8,,,1,11,,117,,257,5,,,107,,2,1,5
Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/2/2014,,,,,,,,,,,,,,,,,
Newly reported contacts,8/2/2014,0,,,0,0,,0,,5,5,,,0,,,,0
Total contacts listed,8/2/2014,46,,,3,51,,529,,940,55,,,228,,,,28
Currently under follow-up,8/2/2014,45,,,3,51,,529,,899,46,,,220,,,,5
Contacts seen,8/2/2014,37,,,,,,435,,738,46,,,220,,,,
Contacts who completed 21 day follow-up,8/2/2014,0,,,,,,,,7,7,,,,,,,
Contacts lost to follow-up,8/2/2014,0,,,,,,,,2,2,,,,,,,
New admissions,8/2/2014,,,,,,,2,,11,,,,9,,,,
Total no. currently in Treatment Units,8/2/2014,,,,,,,12,,40,,,,28,,,,
Total discharges,8/2/2014,,,,,,,2,,5,,,,3,,,,
Cumulative admission/isolation,8/2/2014,,,,,,,12,,40,,,,28,,,,
Newly Reported Cases in HCW,8/2/2014,0,,,,0,,0,,0,,,,0,,,,
Cumulative cases among HCW,8/2/2014,4,,,,23,,17,,60,1,,,15,,,,
Newly Reported deaths in HCW,8/2/2014,0,,,,0,,0,,0,,,,0,,,,
Cumulative deaths among HCW,8/2/2014,4,,,,3,,20,,35,,,,8,,,,
New Case/s (Suspected),8/2/2014,,,,,,,2,,2,,,,,,,,
New Case/s (Probable),8/2/2014,,,,,,,4,,9,1,,,4,,,,
New case/s (confirmed),8/2/2014,,,,,,,,,0,,,,,,,,
Total suspected cases,8/2/2014,,,,,27,,17,,107,3,,,55,,,,5
Total probable cases,8/2/2014,16,,,1,16,,69,,232,5,,,121,,1,1,2
Total confirmed cases,8/2/2014,7,,,,10,,42,,132,5,,,63,,3,,2
Total Number of Confirmed Cases of Sierra Leonean Nationality,8/2/2014,,,,,,,,,12,,,,11,,1,,
Total Number of Confirmed Cases of Guinean Nationality,8/2/2014,,,,,,,,,,,,,,,,,
Specimens collected,8/4/14,5,,,,,,10,,25,,,,10,,,,
Specimens pending for testing,8/4/14,9,,,1,9,,1,,41,4,,,16,,,,1
Total specimens tested,8/4/14,,,,,,,10,,16,,,,6,,,,
Newly reported deaths,8/4/14,1,,,,,,,,7,,,,3,3,,,
Total death/s in confirmed cases,8/4/14,6,,,,4,,2,,122,,,,59,48,1,,2
Total death/s in probable cases,8/4/14,4,,,1,6,,3,,108,1,,,41,51,1,,
Total death/s in suspected cases,8/4/14,,,,,1,,,,41,,,,16,21,,,3
"Total death/s in confirmed, probable, suspected cases",8/4/14,10,,,1,11,,5,,271,1,,,116,120,2,,5
Case Fatality Rate (CFR) - Confirmed & Probable Cases,8/4/14,,,,,,,,,,,,,,,,,
Newly reported contacts,8/4/14,,,,,,,17,,26,3,,,,,,6,
Total contacts listed,8/4/14,46,,,3,62,,546,,980,58,,,231,,,6,28
Currently under follow-up,8/4/14,38,,,3,50,,546,,914,47,,,221,,,4,5
Contacts seen,8/4/14,38,,,,37,,452,,795,47,,,221,,,,
Contacts who completed 21 day follow-up,8/4/14,1,,,,12,,,,37,4,,,20,,,,
Contacts lost to follow-up,8/4/14,7,,,,,,,,7,,,,,,,,
New admissions,8/4/14,,,,,,,3,,13,,,,10,,,,
Total no. currently in Treatment Units,8/4/14,,,,,,,13,,49,,,,36,,,,
Total discharges,8/4/14,,,,,,,1,,3,,,,2,,,,
Cumulative admission/isolation,8/4/14,,,,,,,13,,49,,,,36,,,,
Newly Reported Cases in HCW,8/4/14,,,,,,,,,,,,,,,,,
Cumulative cases among HCW,8/4/14,4,,,,23,,20,,63,1,,,15,,,,
Newly Reported deaths in HCW,8/4/14,,,,,,,,,,,,,,,,,
Cumulative deaths among HCW,8/4/14,4,,,,3,,,,32,,,,11,14,,,
New Case/s (Suspected),8/4/14,4,,,,0,,,,4,,,,,,,,
New Case/s (Probable),8/4/14,1,,,,0,,,,5,,,,1,3,,,
New case/s (confirmed),8/4/14,0,,,,0,,,,1,,,,,1,,,
